Name	Entered Office	Left Office	Party	First Minister
Name	Entered Office	Left Office	Party	First Minister
Jack McConnell	1 November 2000	22 November 2001	Labour Party	Henry McLeish
Minister for Tourism, Culture and Sport	Minister for Tourism, Culture and Sport	Minister for Tourism, Culture and Sport	Minister for Tourism, Culture and Sport	Minister for Tourism, Culture and Sport
Mike Watson	28 November 2001	28 November 2002	Labour Party	Jack McConnell
Elaine Murray	28 November 2002	21 May 2003	Labour Party	Jack McConnell
Frank McAveety	21 May 2003	4 October 2004	Labour Party	Jack McConnell
Patricia Ferguson	4 October 2004	19 February 2007	Labour Party	Jack McConnell
Cabinet Secretary for Culture and External Affairs	Cabinet Secretary for Culture and External Affairs	Cabinet Secretary for Culture and External Affairs	Cabinet Secretary for Culture and External Affairs	Cabinet Secretary for Culture and External Affairs
Fiona Hyslop	19 May 2011	incumbent	Scottish National Party	Alex Salmond
