Outcome	Date	Tournament	Surface	Partner	Opponents in the final	Score in the final
Runner-ups	August 7, 1995	Horb , Germany ITF $10,000	Clay	Anna Linkova	Ivana Havrliková Monika Kratochvílová	2–6, 5–7
Winners	September 3, 1995	Bad Nauheim , Germany ITF $10,000	Clay	Renata Kochta	Dominika Górecka Petra Plačkova	7–6, 6–2
Winners	September 17, 1995	Varna , Bulgaria ITF $10,000	Clay	Dora Djilianova	Galina Dimitrova Dessislava Topalova	4–6, 6–4, 7–5
Runner-ups	October 1, 1995	Bucharest , Romania ITF $25,000	Clay	Dora Djilianova	Angela Kerek Maja Zivec-Skulj	6–2, 6–7 (5–7) , 6–3
Winners	August 25, 1996	Bad Nauheim , Germany ITF $10,000	Clay	Meike Froehlich	Simona Galikova Patrícia Marková	7–6 (7–4) , 7–6 (12–10)
Winners	September 15, 1996	Varna , Bulgaria ITF $10,000	Clay	Antoaneta Pandjerova	Galina Dimitrova Dessislava Topalova	6–4, 6–2
Winners	June 1, 1997	Bourgas , Bulgaria ITF $10,000	Hard	Teodora Nedeva	Meike Froehlich Kristina Pojatina	6–1, 6–2
Winners	July 20, 1997	Darmstadt , Germany ITF $25,000	Clay	Svetlana Krivencheva	Olga Ivanova Magdalena Feistel	6–0, 2–6, 6–3
Winners	July 27, 1997	Rostock , Germany ITF $25,000	Clay	Svetlana Krivencheva	Renée Reid Réka Vidáts	W/O
Runner-ups	August 17, 1997	Bratislava , Slovakia ITF $75,000	Clay	Svetlana Krivencheva	Laurence Courtois Henrieta Nagyová	1–6, 0–6
Winners	October 18, 1998	Indian Wells , CA, USA ITF $25,000	Hard	Lindsay Lee-Waters	Erika de Lone Katie Schlukebir	6–0, 6–7 (4–7) , 6–1
