District	Incumbent	Party	First elected	Results	Candidates
Ohio 1	Steve Chabot	Republican	1994	Re-elected	Steve Chabot (R) 54% John Cranley (D) 45%
Ohio 3	Tony P. Hall	Democratic	1978	Re-elected	Tony P. Hall (D) 83%
Ohio 4	Michael G. Oxley	Republican	1981	Re-elected	Michael G. Oxley (R) 68% Daniel Dickman (D) 30%
Ohio 5	Paul E. Gillmor	Republican	1988	Re-elected	Paul E. Gillmor (R) 70% Dannie Edmon (D) 26%
Ohio 6	Ted Strickland	Democratic	1992	Re-elected	Ted Strickland (D) 58% Mike Azinger (R) 41%
Ohio 7	David L. Hobson	Republican	1990	Re-elected	David L. Hobson (R) 68% Donald Minor (D) 25%
Ohio 8	John A. Boehner	Republican	1990	Re-elected	John A. Boehner (R) 71% John Parks (D) 27%
Ohio 9	Marcia C. Kaptur	Democratic	1982	Re-elected	Marcia C. Kaptur (D) 75% Dwight Bryan (R) 23%
Ohio 10	Dennis J. Kucinich	Democratic	1996	Re-elected	Dennis J. Kucinich (D) 76% Bill Smith (R) 23%
Ohio 11	Stephanie Tubbs Jones	Democratic	1998	Re-elected	Stephanie Tubbs Jones (D) 86% James Sykora (R) 12%
Ohio 12	John Kasich	Republican	1982	Retired Republican hold	Pat Tiberi (R) 53% Maryellen O'Shaughnessy (D) 44%
Ohio 13	Sherrod Brown	Democratic	1992	Re-elected	Sherrod Brown (D) 65% Rick Jeric (R) 33%
Ohio 14	Tom Sawyer	Democratic	1986	Re-elected	Tom Sawyer (D) 65% Rick Wood (R) 32%
Ohio 15	Deborah D. Pryce	Republican	1992	Re-elected	Deborah D. Pryce (R) 68% Bill Buckel (D) 28%
Ohio 16	Ralph S. Regula	Republican	1972	Re-elected	Ralph S. Regula (R) 70% William Smith (D) 27%
Ohio 17	James Traficant	Democratic	1984	Re-elected	James Traficant (D) 50% Paul Alberty (R) 23%
