Week	Date	Opponent	Result	Game site	Record	Attendance
1	September 17	Houston Oilers	W 30–17	Mile High Stadium	1–0	51,656
2	September 24	at San Diego Chargers	L 14–37	San Diego Stadium	1–1	49,048
3	October 1	Kansas City Chiefs	L 24–45	Mile High Stadium	1–2	51,656
4	October 8	at Cincinnati Bengals	L 10–21	Riverfront Stadium	1–3	55,812
5	October 15	Minnesota Vikings	L 20–23	Mile High Stadium	1–4	51,656
6	October 22	at Oakland Raiders	W 30–23	Oakland-Alameda County Coliseum	2–4	53,551
7	October 29	Cleveland Browns	L 20–27	Mile High Stadium	2–5	51,656
8	November 5	at New York Giants	L 17–29	Yankee Stadium	2–6	62,689
9	November 12	at Los Angeles Rams	W 16–10	Los Angeles Memorial Coliseum	3–6	65,398
10	November 19	Oakland Raiders	L 20–37	Mile High Stadium	3–7	51,656
11	November 26	at Atlanta Falcons	L 20–23	Atlanta-Fulton County Stadium	3–8	58,850
12	December 3	at Kansas City Chiefs	L 21–24	Arrowhead Stadium	3–9	66,725
13	December 10	San Diego Chargers	W 38–13	Mile High Stadium	4–9	51,478
14	December 17	New England Patriots	W 45–21	Mile High Stadium	5–9	51,656
