Residence Hall	Sex	Established	Rector	Campus	Capacity	Colors	Mascot
Alumni Hall	Male	1931	Rev. George Rozum, C.S.C.	South Quad	246	Green and White	Dawgs
Badin Hall	Female	1897	Sr. Denise Lyon, I.H.M.	South Quad	141	Green and White	Bullfrogs
Breen-Phillips Hall	Female	1939	Sr. Mary Catherine McNamara, S.I.W.	North Quad	195	Blue and Pink	Babes
Carroll Hall	Male	1906	Rev. James Lewis, O.Carm.	South Quad	102	Scarlet and Gold	Vermin
Cavanaugh Hall	Female	1936	Ms. Jeannine DiCarlantonio	North Quad	209	Green and Purple	Chaos
Dillon Hall	Male	1931	Rev. Paul Doyle, C.S.C.	South Quad	328	Red and Black	Big Red
Duncan Hall	Male	2008	Mr. Terence Fitzgibbons	West Quad	232	Green and Navy	Highlanders
Farley Hall	Female	1942	Ms. Elaine J.C. DeBassige	North Quad	221	Teal and Yellow	Finest
Fisher Hall	Male	1952	Rev. Brad Metz, C.S.C.	South Quad	183	Green and White	Green Wave
Howard Hall	Female	1924	Ms. Margaret Morgan	South Quad	147	Yellow and Green	Ducks
Keenan Hall	Male	1957	Mr. Noel Terranova	North Quad	275	Navy and White	Knights
Keough Hall	Male	1996	Rev. Mr. Pat Reidy, C.S.C.	West Quad	284	Blue and Red	Kangaroos
Knott Hall	Male	1988	Br. Jerome Meyer, C.S.C.	Mod Quad	239	Orange and Blue	Juggerknotts
Lewis Hall	Female	1965	Ms. Katy Patterson	God Quad	254	Blue and Yellow	Chicks
Lyons Hall	Female	1925	Ms. Meghan Brown	South Quad	202	Black and Gold	Lions
McGlinn Hall	Female	1997	Sr. Mary Lynch, S.S.J.	West Quad	285	Green and White	Shamrocks
Morrissey Manor	Male	1925	Rev. Ronald Vierling, M.F.C.	South Quad	235	Black and Yellow	The Manor
Old College (Seminary)	Male	1843	Rev. Stephen Lacroix, C.S.C.	South Quad	22	N/A	N/A
O'Neill Hall	Male	1996	Mr. Chris Tarnacki	West Quad	279	Blue and Silver	Angry Mob
Pangborn Hall	Female	1955	Sr. Mary Donnelly, O.P.	South Quad	173	Purple and Green	Phoxes
Pasquerilla East Hall	Female	1981	Sr. Cindy Broderick, O.P.	Mod Quad	255	Red and Black	Pyros
Pasquerilla West Hall	Female	1981	Sr. Mary Jane Hahner, C.S.F.N.	Mod Quad	258	Purple and White	Purple Weasels
Ryan Hall	Female	2009	Ms. Allie Greene	West Quad	247	Turquoise and White	Wildcats
St. Edward's Hall	Male	1882	Rev. Ralph Haag, C.S.C.	God Quad	161	Green and Gold	Gentlemen
Siegfried Hall	Male	1988	Rev. John Conley, C.S.C.	Mod Quad	240	Maroon and Gray	Ramblers
Sorin College	Male	1888	Rev. Bob Loughery, C.S.C.	God Quad	144	Blue and Gold	Otters
Stanford Hall	Male	1957	Rev. William Dailey, C.S.C.	North Quad	254	Green and Gold	Griffins
Walsh Hall	Female	1909	Ms. Annie Selak	God Quad	182	Navy and Light Blue	Wild Women
Welsh Family Hall	Female	1997	Sr. Christine Connolly, O.P.	West Quad	281	Blue and White	Whirlwinds
