Week	Date	Time	Opponent	Result	Game site	NFL Recap	Record
1	September 7, 2008	1:15 p.m.	at San Francisco 49ers	W 23–13	Candlestick Park	Recap	1–0
2	September 14, 2008	1:15 p.m.	Miami Dolphins	W 31–10	University of Phoenix Stadium	Recap	2–0
3	September 21, 2008	10:00 a.m.	at Washington Redskins	L 24–17	FedEx Field	Recap	2–1
4	September 28, 2008	10:00 a.m.	at New York Jets	L 56–35	Giants Stadium	Recap	2–2
5	October 5, 2008	1:15 p.m.	Buffalo Bills	W 41–17	University of Phoenix Stadium	Recap	3–2
6	October 12, 2008	1:15 p.m.	Dallas Cowboys	W 30–24 OT	University of Phoenix Stadium	Recap	4–2
7	Bye week	Bye week	Bye week	Bye week	Bye week	Bye week	Bye week
8	October 26, 2008	10:00 a.m.	at Carolina Panthers	L 27–23	Bank of America Stadium	Recap	4–3
9	November 2, 2008	11:00 a.m.	at St. Louis Rams	W 34–13	Edward Jones Dome	Recap	5–3
10	November 10, 2008	6:30 p.m.	San Francisco 49ers	W 29–24	University of Phoenix Stadium	Recap	6–3
11	November 16, 2008	2:05 p.m.	at Seattle Seahawks	W 26–20	Qwest Field	Recap	7–3
12	November 23, 2008	2:15 p.m.	New York Giants	L 37–29	University of Phoenix Stadium	Recap	7–4
13	November 27, 2008	6:15 p.m.	at Philadelphia Eagles	L 48–20	Lincoln Financial Field	Recap	7–5
14	December 7, 2008	2:15 p.m.	St. Louis Rams	W 34–10	University of Phoenix Stadium	Recap	8–5
15	December 14, 2008	2:05 p.m.	Minnesota Vikings	L 35–14	University of Phoenix Stadium	Recap	8–6
16	December 21, 2008	11:00 a.m.	at New England Patriots	L 47–7	Gillette Stadium	Recap	8–7
17	December 28, 2008	2:15 p.m.	Seattle Seahawks	W 34–21	University of Phoenix Stadium	Recap	9–7
