City	Country	IATA	ICAO	Airport
Abu Dhabi	United Arab Emirates	AUH	OMAA	Abu Dhabi International Airport
Adelaide	Australia	ADL	YPAD	Adelaide Airport
Ahmedabad	India	AMD	VAAH	Sardar Vallabhbhai Patel International Airport
Amritsar	India	ATQ	VIAR	Sri Guru Ram Dass Jee International Airport
Amsterdam	Netherlands	AMS	EHAM	Amsterdam Schiphol Airport
Athens (resumes 9 June 2014)	Greece	ATH	LGAV	Athens International Airport
Auckland	New Zealand	AKL	NZAA	Auckland Airport
Bahrain	Bahrain	BAA	OBBI	Bahrain International Airport
Bandar Seri Begawan	Brunei	BWN	WBSB	Brunei International Airport
Bangalore	India	BLR	VOBL	Bengaluru International Airport
Bangkok	Thailand	BKK	VTBS	Suvarnabhumi Airport
Barcelona	Spain	BCN	LEBL	Barcelona El Prat Airport
Beijing	China	PEK	ZBAA	Beijing Capital International Airport
Berlin	Germany	SXF	EDDB	Berlin-Schönefeld Airport
Brisbane	Australia	BNE	YBBN	Brisbane Airport
Busan (resumes March 23, 2014)	South Korea	PUS	RKPK	Gimhae International Airport
Brussels	Belgium	BRU	EBBR	Brussels Airport
Cairns	Australia	CNS	YBCS	Cairns Airport
Cairo	Egypt	CAI	HECA	Cairo International Airport
Cape Town	South Africa	CPT	FACT	Cape Town International Airport
Chennai	India	MAA	VOMM	Chennai International Airport
Chicago	United States	ORD	KORD	O'Hare International Airport
Christchurch	New Zealand	CHC	NZCH	Christchurch International Airport
Colombo	Sri Lanka	CMB	VCBI	Bandaranaike International Airport
Copenhagen	Denmark	CPH	EKCH	Copenhagen Airport
Darwin	Australia	DRW	YPDN	Darwin International Airport
Delhi	India	DEL	VIDP	Indira Gandhi International Airport
Denpasar	Indonesia	DPS	WADD	Ngurah Rai International Airport
Dhahran	Saudi Arabia	DHA	OEDR	Dhahran International Airport
Dhaka	Bangladesh	DAC	VCBI	Shahjalal International Airport
Dubai	United Arab Emirates	DXB	OMDB	Dubai International Airport
