Name	Bodyweight	Snatch	Clean & Jerk	Total (kg)
Yordanis Borrero ( CUB )	68.55	141.0	176.0	317.0
Edwin Mosquera ( COL )	68.45	141.0	172.0	313.0
Ricardo Flores ( ECU )	68.00	138.0	170.0	308.0
Santo Rivera ( DOM )	68.10	133.0	170.0	303.0
Israel José Rubio ( VEN )	66.10	137.0	163.0	300.0
Wellison Silva ( BRA )	68.25	133.0	165.0	298.0
Alexis Batista ( PAN )	66.15	132.0	160.0	292.0
Roger Couoh ( MEX )	68.95	115.0	153.0	268.0
Marvín Martínez ( ESA )	68.25	145.0	165.0	265.0
Moises Herrera ( NCA )	65.80	100.0	125.0	225.0
