Date	Opponent	Score	Loss	Record
May 1	@ Orioles	Postponed (rain) Rescheduled for May 2	Postponed (rain) Rescheduled for May 2	Postponed (rain) Rescheduled for May 2
May 2	@ Orioles	4–3	Willis (0–2)	7–13
May 2	@ Orioles	8–3	Leal (2–3)	7–14
May 3	@ Orioles	4–2	Stone (1–3)	8–14
May 5	Indians	Postponed (rain) Rescheduled for July 19	Postponed (rain) Rescheduled for July 19	Postponed (rain) Rescheduled for July 19
May 6	Indians	4–1	Todd (1–3)	8–15
May 7	Indians	6–2	Waits (3–1)	9–15
May 8	Red Sox	4–2	Bomback (3–2)	9–16
May 9	Red Sox	10–3	Clancy (1–2)	9–17
May 10	Red Sox	9–5 (10)	Jackson (0–1)	9–18
May 11	Red Sox	7–6	Willis (0–3)	9–19
May 12	Orioles	5–2	Palmer (1–1)	10–19
May 13	Orioles	4–0	Bomback (3–3)	10–20
May 14	Orioles	10–0	Clancy (1–3)	10–21
May 15	@ Indians	3–0	Leal (2–4)	10–22
May 16	@ Indians	4–1	Garland (2–3)	11–22
May 17	@ Indians	1–0	Stieb (3–4)	11–23
May 17	@ Indians	2–1 (10)	Jackson (0–2)	11–24
May 18	White Sox	7–2	Bomback (3–4)	11–25
May 19	White Sox	9–5	Hoyt (3–1)	12–25
May 20	White Sox	6–5	McLaughlin (0–2)	12–26
May 22	@ Athletics	6–2	Stieb (3–5)	12–27
May 23	@ Athletics	3–2 (15)	Leal (2–5)	12–28
May 24	@ Athletics	6–5 (12)	McLaughlin (0–3)	12–29
May 24	@ Athletics	5–0	Garvin (0–2)	12–30
May 25	@ Angels	2–1	Todd (2–4)	12–31
May 26	@ Angels	8–4	Rau (1–2)	13–31
May 27	@ Angels	3–1	Forsch (6–3)	14–31
May 29	Athletics	6–3	Keough (6–2)	15–31
May 30	Athletics	6–5	Norris (7–3)	16–31
May 31	Athletics	6–5	McLaughlin (0–4)	16–32
