Driver	Constructor	Laps	Time/Retired	Grid
Niki Lauda	Ferrari	78	1:42:18.4	2
James Hunt	McLaren - Ford	78	+ 1.3	1
Jochen Mass	McLaren - Ford	78	+ 45.9	4
Jody Scheckter	Tyrrell - Ford	78	+ 1:08.4	12
John Watson	Penske - Ford	77	+ 1 Lap	3
Mario Andretti	Parnelli - Ford	77	+ 1 Lap	13
Tom Pryce	Shadow - Ford	77	+ 1 Lap	7
Vittorio Brambilla	March - Ford	77	+ 1 Lap	5
Patrick Depailler	Tyrrell - Ford	77	+ 1 Lap	6
Bob Evans	Lotus - Ford	77	+ 1 Lap	23
Brett Lunger	Surtees - Ford	77	+1 lap	20
Hans-Joachim Stuck	March - Ford	76	+ 2 Laps	17
Michel Leclère	Wolf-Williams - Ford	76	+ 2 Laps	22
Chris Amon	Ensign - Ford	76	+ 2 Laps	18
Harald Ertl	Hesketh - Ford	74	+ 4 Laps	24
Jacky Ickx	Wolf-Williams - Ford	73	+ 5 Laps	19
Emerson Fittipaldi	Fittipaldi - Ford	70	Engine	21
Clay Regazzoni	Ferrari	52	Engine	9
Jacques Laffite	Ligier - Matra	49	Engine	8
Jean-Pierre Jarier	Shadow - Ford	28	Radiator	15
Carlos Pace	Brabham - Alfa Romeo	22	Oil Pressure	14
Gunnar Nilsson	Lotus - Ford	18	Clutch	25
Carlos Reutemann	Brabham - Alfa Romeo	16	Oil Pressure	11
Ronnie Peterson	March - Ford	15	Accident	13
Ian Scheckter	Tyrrell - Ford	0	Accident	16
