Tournament	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	Career SR	Career Win-Loss
Grand Slams	Grand Slams	Grand Slams	Grand Slams	Grand Slams	Grand Slams	Grand Slams	Grand Slams	Grand Slams	Grand Slams	Grand Slams	Grand Slams	Grand Slams	Grand Slams	Grand Slams
Australian Open	A	A	A	A	A	A	A	3R	QF	1R	1R	A	0 / 4	6–4
French Open	A	A	1R	2R	F	3R	3R	1R	4R	4R	1R	A	0 / 9	17–9
Wimbledon	A	A	A	A	A	A	A	A	A	A	1R	A	0 / 1	0–1
US Open	A	A	A	2R	1R	A	2R	1R	1R	A	A	A	0 / 5	2–5
Grand Slam SR	0 / 0	0 / 0	0 / 1	0 / 2	0 / 2	0 / 1	0 / 2	0 / 3	0 / 3	0 / 2	0 / 3	0 / 0	0 / 19	N/A
Annual Win-Loss	0–0	0–0	0–1	2–2	6–2	2–1	3–2	2–3	7–3	3–2	0–3	0–0	N/A	25–19
Year-End Championship	Year-End Championship	Year-End Championship	Year-End Championship	Year-End Championship	Year-End Championship	Year-End Championship	Year-End Championship	Year-End Championship	Year-End Championship	Year-End Championship	Year-End Championship	Year-End Championship	Year-End Championship	Year-End Championship
ATP Tour World Championships	A	A	A	A	RR	A	A	A	A	A	A	A	0 / 1	0-3
ATP Masters Series	ATP Masters Series	ATP Masters Series	ATP Masters Series	ATP Masters Series	ATP Masters Series	ATP Masters Series	ATP Masters Series	ATP Masters Series	ATP Masters Series	ATP Masters Series	ATP Masters Series	ATP Masters Series	ATP Masters Series	ATP Masters Series
Indian Wells	A	A	A	A	1R	3R	1R	QF	1R	1R	A	A	0 / 6	4–6
Miami	A	A	A	A	3R	3R	A	2R	2R	2R	1R	A	0 / 6	2–6
Monte Carlo	A	A	A	A	3R	3R	1R	2R	SF	1R	1R	A	0 / 7	8–7
Rome	A	A	A	A	2R	1R	2R	SF	SF	2R	A	A	0 / 6	11–6
Hamburg	A	A	2R	A	1R	2R	2R	QF	3R	3R	A	A	0 / 7	8–7
Canada	A	A	A	A	A	A	2R	A	A	A	A	A	0 / 1	1–1
Cincinnati	A	A	A	A	A	3R	A	A	1R	A	A	A	0 / 2	2–2
Stuttgart (Stockholm)	A	A	A	A	A	1R	2R	1R	A	A	A	A	0 / 3	1–3
Paris	A	A	A	A	A	A	3R	1R	A	A	A	A	0 / 2	2–2
Masters Series SR	0 / 0	0 / 0	0 / 1	0 / 0	0 / 5	0 / 7	0 / 7	0 / 7	0 / 6	0 / 5	0 / 2	0 / 0	0 / 40	N/A
Annual Win-Loss	0–0	0–0	1–1	0–0	4–5	5–7	6–7	11–7	9–6	3–5	0–2	0–0	N/A	39–40
Year End Ranking	495	298	115	36	8	32	19	23	21	60	153	737	N/A	N/A
