Year	Races	Wins	Poles	Top 5	Top 10	DNF	Finish	Start	Winnings	Season Rank	Team(s)
1995	2	0	0	0	0	0	24.0	37.0	$5,225	75th	Stegell Motorsports
1996	14	0	0	0	0	6	26.4	25.1	$63,865	42nd	Stegell Motorsports
1997	28	0	1	0	1	10	27.1	21.6	$196,656	23rd	Stegell Motorsports
1998	31	0	1	0	3	5	24.9	25.5	$335,163	19th	Stegell Motorsports
1999	25	0	0	1	1	9	25.8	18.2	$243,810	24th	Curb-Agajanian Performance Group
2000	2	0	0	0	0	1	35.0	28.5	$15,900	90th	Alumni Motorsports
2001	33	0	0	0	0	6	27.9	32.7	$491,977	23rd	Hensley Racing
2002	24	0	0	0	1	11	27.0	33.0	$288,325	29th	Hensley Racing
2003	5	0	0	0	0	4	35.8	25.6	$68,360	85th	Jay Robinson Racing
2004	9	0	0	0	0	6	31.4	37.2	$139,685	54th	Moy Racing / Jay Robinson Racing
2005	7	0	0	0	0	7	40.9	32.6	$108,921	83rd	Jay Robinson Racing
2006	9	0	0	0	0	7	38.9	39.1	$151,184	70th	Jay Robinson Racing
2008	1	0	0	0	0	1	43.0	34.0	$15,674	149th	Jay Robinson Racing
