Rank	Stadium	Capacity	City	Country
1	Queensland Sport and Athletics Centre	49,000	Brisbane	Australia
2	Estadio Olímpico de Sevilla	27,200	Seville	Spain
3	Belgrade Arena	23,000	Belgrade	Serbia
4	Las Ventas	21,000	Madrid	Spain
5	Royal Dublin Society	6,000	Dublin	Ireland
6	O2 Arena (Prague)	17,000	Prague	Czech Republic
7	Palau Sant Jordi	16,500	Barcelona	Spain
8	Estadio Mary Terán de Weiss	14,510	Buenos Aires	Argentina
9	Palacio de Deportes de Santander	14,000	Santander	Spain
10	Memorial Coliseum	12,000	Portland, Oregon	United States
11	Nokia Arena	11,700	Tel Aviv	Israel
12	Public Auditorium	11,500	Cleveland	United States
13	Mediolanum Forum	11,200	Milan	Italy
14	Bill Graham Civic Auditorium	7,000	San Francisco	United States
15	Sibamac Arena	4,500	Bratislava	Slovakia
16	Idrottens Hus	2,400	Helsingborg	Sweden
