Block A	Goto	Jado	Kakihara	Kanemoto	Minoru	Samurai	Stampede
Goto	X	Jado (11:31)	Goto (10:16)	Kanemoto (11:28)	Minoru (11:28)	Goto (10:08)	Goto (7:57)
Jado	Jado (11:31)	X	Kakihara (8:02)	Kanemoto (10:40)	Minoru (12:29)	Jado (14:04)	Stampede (9:59)
Kakihara	Goto (10:16)	Kakihara (8:02)	X	Kanemoto (10:29)	Kakihara (10:04)	Samurai (10:47)	Kakihara (8:30)
Kanemoto	Kanemoto (11:28)	Kanemoto (10:40)	Kanemoto (10:29)	X	Minoru (19:38)	Samurai (12:15)	Kanemoto (9:34)
Minoru	Minoru (11:28)	Minoru (12:29)	Kakihara (10:04)	Minoru (19:38)	X	Minoru (13:04)	Stampede (11:30)
Samurai	Goto (10:08)	Jado (14:04)	Samurai (10:47)	Samurai (12:15)	Minoru (13:04)	X	Samurai (9:31)
Stampede	Goto (7:57)	Stampede (9:59)	Kakihara (8:30)	Kanemoto (9:34)	Stampede (11:30)	Samurai (9:31)	X
Block B	Anzawa	B. Tiger	Gedo	Inoue	Liger	Takemura	T. Mask
Anzawa	X	B. Tiger (6:13)	Gedo (10:21)	Anzawa (forfeit)	Liger (8:36)	Takemura (7:46)	T. Mask (5:34)
B. Tiger	B. Tiger (6:13)	X	Gedo (forfeit)	Inoue (11:01)	Liger (forfeit)	B. Tiger (6:46)	T. Mask (forfeit)
Gedo	Gedo (10:21)	Gedo (forfeit)	X	Inoue (15:13)	Gedo (17:24)	Gedo (11:29)	Gedo (11:25)
Inoue	Anzawa (forfeit)	Inoue (11:01)	Inoue (15:13)	X	Liger (16:50)	Takemura (forfeit)	Inoue (11:53)
Liger	Liger (8:36)	Liger (forfeit)	Gedo (17:24)	Liger (16:50)	X	Liger (12:12)	T. Mask (8:58)
Takemura	Takemura (7:46)	B. Tiger (6:46)	Gedo (11:29)	Takemura (forfeit)	Liger (12:12)	X	T. Mask (6:12)
T. Mask	T. Mask (5:34)	T. Mask (forfeit)	Gedo (11:25)	Inoue (11:53)	T. Mask (8:58)	T. Mask (6:12)	X
