Number	Name	Kilometer	Pavement	Length (m)	Average climb (%)
17	Kluisberg	99	asphalt	1250	53
16	Nokereberg	118	cobbles	375	59
15	Molenberg	157	cobbles/asphalt	463	7
14	Wolvenberg	167	asphalt	645	79
13	Oude Kwaremont	185	cobbles/asphalt	2200	4
12	Paterberg	189	cobbles	360	129
11	Koppenberg	195	cobbles	600	116
10	Steenbeekdries	200	cobbles	700	53
9	Taaienberg	203	cobbles	530	66
8	Berg Ter Stene	213	asphalt	1300	5
7	Leberg	216	cobbles	950	42
6	Berendries	222	asphalt	940	7
5	Valkenberg	227	asphalt	540	81
4	Tenbosse	233	asphalt	455	64
3	Eikenmolen	239	asphalt	610	59
2	Muur-Kapelmuur	249	cobbles	475	93
