Title	Series	Director	Release date	Characters
The Astroduck	LT	Robert McKimson	1966-01-01	Daffy, Speedy
Shot and Bothered	LT	Rudy Larriva	1966-01-08	Wile E., Road Runner
Out and Out Rout	MM	Rudy Larriva	1966-01-29	Wile E., Road Runner
Mucho Locos	MM	Robert McKimson	1966-02-05	Daffy, Speedy
The Solid Tin Coyote	LT	Rudy Larriva	1966-02-19	Wile E., Road Runner
Mexican Mousepiece	MM	Robert McKimson	1966-02-26	Daffy, Speedy
Clippety Clobbered	LT	Rudy Larriva	1966-03-12	Wile E., Road Runner
Daffy Rents	LT	Robert McKimson	1966-03-26	Daffy, Speedy
A-Haunting We Will Go	LT	Robert McKimson	1966-04-16	Daffy, Speedy, Witch Hazel
Snow Excuse	MM	Robert McKimson	1966-05-21	Daffy, Speedy
A Squeak in the Deep	LT	Robert McKimson	1966-07-19	Daffy, Speedy
Feather Finger	MM	Robert McKimson	1966-08-20	Daffy, Speedy
Swing Ding Amigo	LT	Robert McKimson	1966-09-17	Daffy, Speedy
Sugar and Spies	LT	Robert McKimson	1966-11-05	Wile E., Road Runner
A Taste of Catnip	MM	Robert McKimson	1966-12-03	Daffy, Speedy, Sylvester
