District	Incumbent	Party	First elected	Results	Candidates
New Jersey 1	Rob Andrews	Democratic	1990	Re-elected	Rob Andrews (D) 74% Ronald Richards (R) 23%
New Jersey 2	Frank LoBiondo	Republican	1994	Re-elected	Frank LoBiondo (R) 66% Derek Hunsberger (D) 31%
New Jersey 3	Jim Saxton	Republican	1984	Re-elected	Jim Saxton (R) 62% Steven Polansky (D) 36%
New Jersey 4	Chris Smith	Republican	1980	Re-elected	Chris Smith (R) 63% Larry Schneider (D) 35%
New Jersey 5	Marge Roukema	Republican	1980	Re-elected	Marge Roukema (R) 64% Mike Schneider (D) 33%
New Jersey 7	Bob Franks	Republican	1992	Re-elected	Bob Franks (R) 53% Maryanne Connelly (D) 45%
New Jersey 8	Bill Pascrell	Democratic	1996	Re-elected	Bill Pascrell (D) 62% Matthew Kirnan (R) 36%
New Jersey 9	Steve Rothman	Democratic	1996	Re-elected	Steve Rothman (D) 65% Steve Lonegan (R) 34%
New Jersey 10	Don Payne	Democratic	1988	Re-elected	Don Payne (D) 84% William Wnuck (R) 11%
New Jersey 11	Rodney Frelinghuysen	Republican	1994	Re-elected	Rodney Frelinghuysen (R) 68% John Scollo (D) 30%
New Jersey 12	Mike Pappas	Republican	1996	Lost re-election Democratic gain	Rush D. Holt, Jr. (D) 51% Mike Pappas (R) 48%
