City	Country	Region	IATA	ICAO	Airport
Changde	China	East Asia	CGD	ZGCD	Changde Airport
Changsha	China	East Asia	CSX	ZGHA	Changsha Huanghua International Airport
Chongqing	China	East Asia	CKG	ZUCK	Chongqing Jiangbei International Airport
Dalian	China	East Asia	DLC	ZYTL	Dalian Zhoushuizi International Airport
Guangzhou	China	East Asia	CAN	ZGGG	Guangzhou Baiyun International Airport
Guilin	China	East Asia	KWL	ZGKL	Guilin Liangjiang International Airport
Haikou	China	East Asia	HAK	ZJHK	Haikou Meilan International Airport
Hangzhou	China	East Asia	HGH	ZSHC	Hangzhou Xiaoshan International Airport
Hong Kong	Hong Kong	East Asia	HKG	VHHH	Hong Kong International Airport
Macau	Macau	East Asia	MFM	VMMC	Macau International Airport
Nanjing	China	East Asia	NKG	ZSNJ	Nanjing Lukou International Airport
Qingdao	China	East Asia	TAO	ZSQD	Qingdao Liuting International Airport
Sanya	China	East Asia	SYX	ZGSY	Sanya Phoenix International Airport
Shanghai	China	East Asia	SHA	ZSSS	Shanghai Hongqiao International Airport
Shenyang	China	East Asia	SHE	ZYTX	Shenyang Taoxian International Airport
Shenzhen	China	East Asia	SZX	ZGSZ	Shenzhen Bao'an International Airport
Tianjin	China	East Asia	TSN	ZBTJ	Tianjin Binhai International Airport
Wuhan	China	East Asia	WUH	ZHHH	Wuhan Tianhe International Airport †
Xi'an	China	East Asia	XIY	ZLXY	Xi'an Xianyang International Airport
Xiamen	China	East Asia	XMN	ZSAM	Xiamen Gaoqi International Airport
Zhengzhou	China	East Asia	CGO	ZHCC	Zhengzhou Xinzheng International Airport
