Nation	Gold	Silver	Bronze	Total
China	12	8	6	26
Russia	4	1	3	8
South Korea	2	4	3	9
Ukraine	2	4	3	9
Norway	2	1	3	6
Turkey	2	0	0	2
Great Britain	1	2	0	3
Bulgaria	1	1	0	2
France	1	1	0	2
Latvia	1	0	2	3
USA	1	0	1	2
North Korea	1	0	0	1
Sweden	1	0	0	1
Denmark	1	0	0	1
Ecuador	1	0	0	1
Hungary	1	0	0	1
Italy	1	0	0	1
Vietnam	0	2	3	5
Poland	0	2	1	3
Moldova	0	2	1	3
Netherlands	0	1	0	1
Romania	0	1	0	1
Chinese Taipei	0	1	0	1
Australia	0	1	0	1
Barbados	0	1	0	1
India	0	1	0	1
Israel	0	1	0	1
Hong Kong	0	0	2	2
Iran	0	0	2	2
Japan	0	0	2	2
Malaysia	0	0	1	1
Singapore	0	0	1	1
Greece	0	0	1	1
Total	35	35	35	105
