Date	Tournament	Surface	Opponent in the final	Score
18 January 1998	Hobart , Australia	Hard	Dominique van Roost	6–3, 6–2
22 February 1998	Hannover , Germany	Carpet (i)	Jana Novotná	6–0, 3–6, 7–5
24 May 1998	Madrid , Spain	Clay	Dominique van Roost	3–6, 6–4, 6–0
12 July 1998	Maria Lankowitz , Austria	Clay	Gala León García	6–2, 4–6, 6–3
19 July 1998	Palermo , Italy	Clay	Barbara Schett	6–1, 5–7, 6–2
10 January 1999	Gold Coast , Australia	Hard	Mary Pierce	4–6, 7–6(5), 6–2
11 November 2001	Pattaya City , Thailand	Hard	Henrieta Nagyová	6–0, 6–4
20 October 2002	Zürich , Switzerland	Carpet (i)	Lindsay Davenport	6–7(5), 7–6(8), 6–3
8 January 2005	Gold Coast , Australia	Hard	Samantha Stosur	1–6, 6–3, 7–5
24 July 2005	Cincinnati , USA	Hard	Akiko Morigami	6–4, 6–0
8 September 2008	Bali , Indonesia	Hard	Tamira Paszek	6–3, 6–0
