Place	Player	Country	Score	To par	Money ( $ )
1	Byron Nelson	United States	66-72-75-70=283	–5	1,500
2	Ralph Guldahl	United States	69-72-68-76=285	–3	800
3	Ed Dudley	United States	70-71-71-74=286	–2	600
4	Harry Cooper	United States	73-69-71-74=287	–1	500
5	Ky Laffoon	United States	73-70-74-73=290	+2	400
6	Jimmy Thomson	Scotland United States	71-73-74-73=291	+3	300
7	Al Watrous	United States	74-72-71-75=292	+4	250
T8	Tommy Armour	Scotland	73-75-73-72=293	+5	175
T8	Vic Ghezzi	United States	72-72-72-77=293	+5	175
T10	Leonard Dodson	United States	71-75-71-77=294	+6	100
T10	Jimmy Hines	United States	77-72-68-77=294	+6	100
