Date	Opponent	Score	Loss	Record
July 1	Braves	6 - 5	Hernández (0-3)	34-48
July 2	Braves	6 - 0	Arrojo (10-5)	34-49
July 3	@ Blue Jays	3 - 2 (10)	Yan (4-2)	34-50
July 4	@ Blue Jays	8 - 0	Springer (2-11)	34-51
July 5	@ Blue Jays	2 - 1	White (1-4)	34-52
July 9	Yankees	2 - 0	Rekar (0-1)	34-53
July 10	Yankees	8 - 4	Álvarez (4-6)	34-54
July 11	Yankees	2 - 0	Arrojo (10-6)	34-55
July 12	Yankees	9 - 2	Hernández (0-4)	34-56
July 13	Red Sox	2 - 0	Santana (2-2)	34-57
July 14	Red Sox	5 - 4	Mahay (1-1)	35-57
July 15	@ Angels	4 - 2	Álvarez (4-7)	35-58
July 16	@ Angels	8 - 1	Sparks (3-2)	36-58
July 17	@ Rangers	7 - 4	Mecir (3-2)	36-59
July 18	@ Rangers	9 - 8	Yan (4-3)	36-60
July 19	@ Rangers	7 - 4	Rekar (0-2)	36-61
July 21	Mariners	8 - 3	Álvarez (4-8)	36-62
July 22	Mariners	7 - 5	Johnson (9-9)	37-62
July 24	Athletics	6 - 0	Oquist (6-7)	38-62
July 25	Athletics	7 - 5	Rogers (10-4)	39-62
July 26	Athletics	3 - 1	Candiotti (5-13)	40-62
July 27	Athletics	11 - 5	Stein (4-6)	41-62
July 28	@ White Sox	4 - 1	Arrojo (11-7)	41-63
July 29	@ White Sox	7 - 2	Parque (2-4)	42-63
July 31	Tigers	5 - 1	Greisinger (1-6)	43-63
