Pick #	Player	Position	Nationality	NHL team	College/junior/club team
113	Derek Kuntz	Left Wing	Canada	New York Islanders	Medicine Hat Tigers (WCHL)
114	Dave Murphy	Centre	Canada	Atlanta Flames	Hamilton Red Wings (OMJHL)
115	Dennis McCord	Defence	Canada	Vancouver Canucks	London Knights (OMJHL)
116	Scott MacPhail	Right Wing	Canada	Minnesota North Stars	Montreal Junior Canadiens (OMJHL)
117	Rene Levasseur	Defence	Canada	New York Islanders	Shawinigan Dynamos (QMJHL)
118	Brent Meeke	Defence	Canada	California Golden Seals	Niagara Falls Flyers (OMJHL)
119	Pat Russell	Right Wing	Canada	Philadelphia Flyers	Vancouver Nats (WCHL)
120	Yves Bergeron	Right Wing	Canada	Pittsburgh Penguins	Shawinigan Dynamos (QMJHL)
121	Gary Winchester	Centre	Canada	St. Louis Blues	University of Wisconsin (WCHA)
122	Mike Ford	Defence	Canada	Detroit Red Wings	Brandon Wheat Kings (WCHL)
123	Peter Williams	Defence	Canada	Toronto Maple Leafs	University of Prince Edward Island (CIAU)
124	Bob Lundeen	Defence	United States	Minnesota North Stars	University of Wisconsin (WCHA)
125	Billy Reay	Right Wing	Canada	Chicago Black Hawks	University of Wisconsin (WCHA)
126	Graham Parsons	Goaltender	Canada	Montreal Canadiens	Red Deer Rustlers (AJHL)
127	Yvon Blais	Defence	Canada	New York Rangers	Cornwall Royals (QMJHL)
128	Roy Carmichael	Defence	Canada	Boston Bruins	New Westminster Bruins (WCHL)
