Tie no	Home team	Score	Away team	Date
1	Enfield	3–0	Wimbledon	26 November 1977
2	Chester	4–1	Darlington	26 November 1977
3	Chesterfield	1–0	Halifax Town	26 November 1977
4	Barnet	1–2	Peterborough United	26 November 1977
5	Bath City	0–0	Plymouth Argyle	26 November 1977
Replay	Plymouth Argyle	2–0	Bath City	29 November 1977
6	Preston North End	3–2	Lincoln City	26 November 1977
7	Watford	2–0	Hendon	26 November 1977
8	Reading	3–1	Aldershot	26 November 1977
9	Walsall	1–0	Dagenham	26 November 1977
10	Gillingham	1–1	Weymouth	26 November 1977
Replay	Weymouth	0–1	Gillingham	30 November 1977
11	Boreham Wood	0–0	Swindon Town	26 November 1977
Replay	Swindon Town	2–0	Boreham Wood	29 November 1977
12	Sheffield Wednesday	1–0	Bury	26 November 1977
13	Scarborough	4–2	Rochdale	26 November 1977
14	Doncaster Rovers	0–1	Shrewsbury Town	26 November 1977
15	Wrexham	2–0	Burton Albion	26 November 1977
16	Tranmere Rovers	1–1	Hartlepool United	26 November 1977
Replay	Hartlepool United	3–1	Tranmere Rovers	29 November 1977
17	Stockport County	3–0	Scunthorpe United	26 November 1977
18	Barnsley	1–0	Huddersfield Town	26 November 1977
19	Brentford	2–0	Folkestone & Shepway	26 November 1977
20	Lowestoft Town	0–2	Cambridge United	26 November 1977
21	Portsmouth	3–1	Bideford	26 November 1977
22	Bradford City	0–1	Crewe Alexandra	26 November 1977
23	Carlisle United	2–0	Stafford Rangers	26 November 1977
24	Spennymoor United	3–1	Goole Town	26 November 1977
25	Blyth Spartans	1–0	Burscough	26 November 1977
26	Minehead	2–0	Wycombe Wanderers	26 November 1977
27	Newport County	1–1	Exeter City	26 November 1977
Replay	Exeter City	4–2	Newport County	30 November 1977
28	Wealdstone	0–0	Hereford United	26 November 1977
Replay	Hereford United	2–3	Wealdstone	30 November 1977
29	Southport	2–2	Runcorn	26 November 1977
Replay	Runcorn	1–0	Southport	28 November 1977
30	Torquay United	1–2	Southend United	26 November 1977
31	Workington	0–2	Grimsby Town	26 November 1977
32	Rotherham United	3–0	Mossley F.C.	26 November 1977
33	Tilbury	0–1	Kettering Town	26 November 1977
Replay	Tilbury	2–2	Kettering Town	5 December 1977
Replay	Kettering Town	2–3	Tilbury	7 December 1977
34	Tooting & Mitcham United	1–2	Northampton Town	26 November 1977
35	Wigan Athletic	1–0	York City	26 November 1977
36	Colchester United	1–1	Bournemouth	26 November 1977
Replay	Bournemouth	0–0	Colchester United	29 November 1977
Replay	Bournemouth	1–4	Colchester United	5 December 1977
37	Nuneaton Borough	2–0	Oxford United	26 November 1977
38	Leatherhead	0–0	Swansea City	26 November 1977
Replay	Swansea City	2–1	Leatherhead	29 November 1977
39	Arnold	0–0	Port Vale	26 November 1977
Replay	Port Vale	5–2	Arnold	28 November 1977
40	AP Leamington	6–1	Enderby Town	26 November 1977
