Season	Bayernliga	Landesliga Süd	Landesliga Mitte	Landesliga Nord
1980-81	TSV Trebgast	TSV Schwaben Augsburg	TSV Straubing	VfB Coburg
1981-82	SC Fürstenfeldbruck	SpVgg Kaufbeuren	SpVgg Landshut	FT Schweinfurt
1982-83	FC Memmingen	TSV Aindling	FC Amberg	SV Heidingsfeld
1983-84	TSV Ampfing	Wacker Burghausen	FSV Bad Windsheim	SV Heidingsfeld
1984-85	MTV Ingolstadt	TSV Eching	SpVgg Plattling	VfB Helmbrechts
1985-86	SV Heidingsfeld	FC Wacker München	FSV Bad Windsheim	VfB Helmbrechts
1986-87	FC Memmingen	MTV Ingolstadt	FSV Bad Windsheim	VfB Helmbrechts
1987-88	SSV Jahn Regensburg	TSV Schwaben Augsburg	FC Miltach	VfB Helmbrechts
1988-89	TSV Ampfing	FC Memmingen	SpVgg Fürth	SV Memmelsdorf
1989-90	SpVgg Starnberg	SV Lohhof	FC Passau	DJK Schweinfurt
1990-91	SpVgg Bayreuth	FC Gundelfingen	1. FC Nuremberg II	VfL Frohnlach
1991-92	SV Türk Gücü München	FC Gundelfingen	SpVgg Landshut	SV Heidingsfeld
1992-93	TSV Eching	FC Gundelfingen	BSC Erlangen	FC Bayern Hof
1993-94	SSV Jahn Regensburg	FC Enikon Augsburg MTV Ingolstadt	FC Amberg SpVgg Weiden	SV Heidingsfeld VfL Frohnlach
1994-95	FC Enikon Augsburg	TSV Eching	SpVgg Weiden	Alemannia Haibach
1995-96	VfB Helmbrechts	TSV Aindling	TSV 04 Schwabach	Alemannia Haibach
1996-97	SpVgg Bayreuth	TSV Landsberg	SSV Jahn Regensburg	FV Würzburg 04
1997-98	FC Memmingen	SV Türk Gücü München	1. FC Nuremberg II	FV Würzburg 04
1998-99	FC Bayern Hof	TSV Bobingen	SpVgg Ansbach	DJK Waldberg
1999-2000	SpVgg Landshut	MTV Ingolstadt	1. FC Bad Kötzting	SpVgg Bayreuth
2000-01	FC Kempten	SpVgg Unterhaching II	FC Linde Schwandorf	TSV Großbardorf
2001-02	FV Würzburg 04	TSV Schwaben Augsburg	SpVgg Landshut	VfL Frohnlach
2002-03	SG Quelle Fürth	SV Gendorf	FC Passau	TSV Grossbardorf
2003-04	FC Passau	BCF Wolfratshausen	SG Quelle Fürth	1. FC Bamberg
2004-05	SpVgg Ansbach	FC Kempten	ASV Neumarkt	FC Bayern Hof
2005-06	FC Kempten	TSG Thannhausen	Freier TuS Regensburg	1. FC Eintracht Bamberg
2006-07	TSV Großbardorf	TSG Thannhausen	SV Schalding-Heining	Alemannia Haibach
2007-08	FC Schweinfurt 05	FC Ingolstadt 04 II TSV Rain am Lech	SV Seligenporten DJK Vilzig	Kickers Würzburg SV Friesen
2008-09	SV Seligenporten	FC Affing	SpVgg Landshut	1. FC Sand
2009-10	SpVgg Ansbach	VfB Eichstätt	TSV Neustadt/Aisch	FC Schweinfurt 05
2010-11	SpVgg Bayern Hof	TSV Gersthofen	SSV Jahn Regensburg II	SpVgg Selbitz
