Rider	Manufacturer	Laps	Time/Retired	Grid
Mattia Pasini	Aprilia	22	38:58.171	1
Héctor Faubel	Aprilia	22	+6.115	7
Gábor Talmácsi	Aprilia	22	+6.146	6
Sergio Gadea	Aprilia	22	+6.354	4
Simone Corsi	Aprilia	22	+6.454	3
Tomoyoshi Koyama	KTM	22	+6.633	13
Lukáš Pešek	Derbi	22	+6.643	2
Sandro Cortese	Aprilia	22	+17.696	5
Michael Ranseder	Derbi	22	+17.890	10
Stefan Bradl	Aprilia	22	+21.780	9
Pol Espargaró	Aprilia	22	+22.867	17
Randy Krummenacher	KTM	22	+22.938	25
Esteve Rabat	Honda	22	+23.195	19
Raffaele de Rosa	Aprilia	22	34.247s	8
Lorenzo Zanetti	Aprilia	22	+36.991	14
Alexis Masbou	Honda	22	+37.145	20
Nicolás Terol	Derbi	22	+34.407	12
Joan Olivé	Aprilia	22	+37.597	11
Stefano Bianco	Aprilia	22	+40.237	18
Andrea Iannone	Aprilia	22	+48.387	37
Hugo Van Den Berg	Aprilia	22	+51.244	32
Roberto Tamburini	Aprilia	22	+51.374	23
Enrique Jerez	Honda	22	+51.923	26
Federico Sandi	Aprilia	22	+55.947	29
Simone Grotzkyj	Aprilia	22	+57.183	27
Joey Litjens	Honda	22	+59.846	22
Stevie Bonsey	KTM	22	+1:18.458	24
Dominique Aegerter	Aprilia	22	+1:19.653	28
Philipp Eitzinger	Honda	22	+1:29.071	36
Roy Pouw	Aprilia	21	+1 Lap	31
Patrick van de Waarsenburg	Honda	21	+1 Lap	34
Jasper Iwema	Honda	21	+1 Lap	33
Ferry Stoffer	Honda	21	+1 Lap	35
Pablo Nieto	Aprilia	19	Retirement	15
Robert Mureşan	Derbi	10	Retirement	21
Mike Di Meglio	Honda	10	Retirement	16
Danny Webb	Honda	5	Retirement	30
