Date	Venue	Score	Result	Competition
27 March 1974	De Kuip , Rotterdam	1–0	1–1	Friendly
4 September 1974	Praterstadion , Vienna	2–1	2–1	Euro 1976 qualifier
28 September 1974	Praterstadion, Vienna	1–0	1–0	Friendly
16 March 1975	Stade Municipal , Luxembourg	2–1	2–1	Euro 1976 qualifier
24 September 1975	Népstadion , Budapest	1–2	1–2	Euro 1976 qualifier
15 October 1975	Praterstadion, Vienna	2–2	6–2	Euro 1976 qualifier
15 October 1975	Praterstadion, Vienna	5–2	6–2	Euro 1976 qualifier
22 September 1976	Linzer Stadion , Linz	1–0	3–1	Friendly
13 October 1976	Praterstadion, Vienna	1–2	4–2	Friendly
13 October 1976	Praterstadion, Vienna	2–2	4–2	Friendly
10 November 1976	Anthi Karagianni Stadium , Kavala	2–0	3–0	Friendly
5 December 1976	Empire Stadium, Gżira	1–0	1–0	1978 World Cup qualifier
15 December 1976	National Stadium , Ramat Gan	3–1	3–1	Friendly
30 April 1977	Stadion Lehen , Salzburg	1–0	9–0	1978 World Cup qualifier
30 April 1977	Stadion Lehen , Salzburg	2–0	9–0	1978 World Cup qualifier
30 April 1977	Stadion Lehen , Salzburg	3–0	9–0	1978 World Cup qualifier
30 April 1977	Stadion Lehen , Salzburg	4–0	9–0	1978 World Cup qualifier
30 April 1977	Stadion Lehen , Salzburg	6–0	9–0	1978 World Cup qualifier
30 April 1977	Stadion Lehen , Salzburg	8–0	9–0	1978 World Cup qualifier
24 August 1977	Praterstadion, Vienna	2–0	2–1	Friendly
15 February 1978	Nea Filadelfeia Stadium , Athens	1–1	1–1	Friendly
3 June 1978	Estadio José Amalfitani , Buenos Aires	2–1	2–1	1978 World Cup
7 June 1978	Estadio José Amalfitani, Buenos Aires	1–0	1–0	1978 World Cup
21 June 1978	Estadio Chateau Carreras , Córdoba	2–1	3–2	1978 World Cup
21 June 1978	Estadio Chateau Carreras , Córdoba	3–2	3–2	1978 World Cup
30 August 1978	Ullevaal Stadium , Oslo	2–0	2–0	Euro 1980 qualifier
28 March 1979	Parc Astrid , Brussels	1–1	1–1	Euro 1980 qualifier
29 August 1979	Praterstadion, Vienna	4–0	4–0	Euro 1980 qualifier
17 October 1979	Hampden Park , Glasgow	1–0	1–1	Euro 1980 qualifier
15 November 1980	Praterstadion, Vienna	5–0	5–0	1982 World Cup qualifier
28 May 1981	Praterstadion, Vienna	1–0	2–0	1982 World Cup qualifier
17 June 1981	Linzer Stadion, Linz	3–0	3–0	1982 World Cup qualifier
24 March 1982	Népstadion, Budapest	1–0	3–2	Friendly
21 June 1982	Estadio Carlos Tartiere , Oviedo	2–0	2–0	1982 World Cup
