Outcome	Date	Tournament	Surface	Partnering	Opponent in the final	Score
Winner	November 9, 1998	Santiago , Chile	Clay	Mariano Hood	Massimo Bertolini Devin Bowen	7–6, 6–7, 7–6
Winner	October 4, 1999	Palermo , Italy	Clay	Mariano Hood	Lan Bale Alberto Martín	6–3, 6–1
Winner	January 28, 2001	Bogotá , Colombia	Clay	Mariano Hood	Martín Rodríguez André Sá	6–2, 6–4
Winner	February 17, 2003	Buenos Aires , Argentina	Clay	Mariano Hood	Lucas Arnold Ker David Nalbandian	6–2, 6–2
Winner	July 18, 2005	Stuttgart , Germany	Clay	José Acasuso	Mariano Hood Tommy Robredo	7–6(4), 6–3
Winner	September 12, 2005	Bucharest , Romania	Clay	José Acasuso	Victor Hănescu Andrei Pavel	6–3, 4–6, 6–3
Winner	January 30, 2006	Viña del Mar , Chile	Clay	José Acasuso	František Čermák Leoš Friedl	7–6(2), 6–4
Winner	February 19, 2007	Buenos Aires, Argentina	Clay	Martín García	Albert Montañés Rubén Ramírez Hidalgo	6–4, 6–2
Winner	February 2, 2008	Viña del Mar, Chile	Clay	José Acasuso	Máximo González Juan Mónaco	6–1, 3–0, ret.
Winner	February 21, 2010	Buenos Aires, Argentina	Clay	Horacio Zeballos	Simon Greul Peter Luczak	7–6(4), 6–3
