Release date	Album title	Record label	Disc number	Track number	Title
16 December 2002	胡彥斌	Go East Entertainment Co. Ltd （ 正东唱片 ）	1	01	和尚
16 December 2002	胡彥斌	Go East Entertainment Co. Ltd （ 正东唱片 ）	1	02	超时空爱情
16 December 2002	胡彥斌	Go East Entertainment Co. Ltd （ 正东唱片 ）	1	03	告诉我
16 December 2002	胡彥斌	Go East Entertainment Co. Ltd （ 正东唱片 ）	1	04	有梦好甜蜜
16 December 2002	胡彥斌	Go East Entertainment Co. Ltd （ 正东唱片 ）	1	05	Make Friend
16 December 2002	胡彥斌	Go East Entertainment Co. Ltd （ 正东唱片 ）	1	06	毒药
16 December 2002	胡彥斌	Go East Entertainment Co. Ltd （ 正东唱片 ）	1	07	包袱
16 December 2002	胡彥斌	Go East Entertainment Co. Ltd （ 正东唱片 ）	1	08	小狗
16 December 2002	胡彥斌	Go East Entertainment Co. Ltd （ 正东唱片 ）	1	09	暗恋
16 December 2002	胡彥斌	Go East Entertainment Co. Ltd （ 正东唱片 ）	1	10	不是不想
16 December 2002	胡彥斌	Go East Entertainment Co. Ltd （ 正东唱片 ）	1	11	超时空爱情（和唱）
16 December 2002	文武双全	EMI	1	01	和尚
16 December 2002	文武双全	EMI	1	02	超时空爱情
16 December 2002	文武双全	EMI	1	03	告诉我
16 December 2002	文武双全	EMI	1	04	Make Friend
16 December 2002	文武双全	EMI	1	05	毒药
16 December 2002	文武双全	EMI	1	06	包袱
16 December 2002	文武双全	EMI	1	07	小狗
16 December 2002	文武双全	EMI	1	08	暗恋
16 December 2002	文武双全	EMI	1	09	不是不想
16 December 2002	文武双全升级版	EMI	1	01	老爸你别装酷
16 December 2002	文武双全升级版	EMI	1	02	梦
16 December 2002	文武双全升级版	EMI	1	03	猜
16 December 2002	文武双全升级版	EMI	1	04	你记得吗
16 December 2002	文武双全升级版	EMI	1	05	目不转睛
16 December 2002	文武双全升级版	EMI	1	06	第一次
16 December 2002	文武双全升级版	EMI	1	07	黑雨
16 December 2002	文武双全升级版	EMI	1	08	透明人
16 December 2002	文武双全升级版	EMI	1	09	想
16 December 2002	文武双全升级版	EMI	1	10	昨天是你生日
16 December 2002	文武双全升级版	EMI	1	bonus track	进行式
7 September 2004	Music混合体	EMI	1	01	情不自禁
7 September 2004	Music混合体	EMI	1	02	Waiting For You
7 September 2004	Music混合体	EMI	1	03	干脆点
7 September 2004	Music混合体	EMI	1	04	我的未来不是梦
7 September 2004	Music混合体	EMI	1	05	红颜
7 September 2004	Music混合体	EMI	1	06	尴尬
7 September 2004	Music混合体	EMI	1	07	借口
7 September 2004	Music混合体	EMI	1	08	宣言
7 September 2004	Music混合体	EMI	1	09	I Wanna Be
7 September 2004	Music混合体	EMI	1	10	一个人…两个人
21 April 2006	音乐密码	EMI	1	01	皇帝
21 April 2006	音乐密码	EMI	1	02	一年前
21 April 2006	音乐密码	EMI	1	03	三对三
