Archbishop	Born	Ordained Priest	Ordained Bishop	Appointed Archbishop	Vacated throne	Died
Jean Baptiste Lamy	October 11, 1814	December 1838	November 24, 1850	February 12, 1875	August 18, 1885	February 13, 1888
Jean Baptiste Salpointe	February 22, 1825	December 20, 1851	June 20, 1869	August 18, 1885	January 7, 1894	July 15, 1898
Placide Louis Chapelle	August 28, 1843	June 28, 1866	November 1, 1891	January 7, 1895	December 7, 1898	August 8, 1906
Peter Bourgade	October 17, 1846	November 30, 1869	May 1, 1886	January 7, 1899	May 17, 1907	May 17, 1907
John Baptist Pitaval	February 10, 1858	December 24, 1881	July 25, 1902	January 3, 1909	July 29, 1918	May 23, 1928
Albert Daeger	March 5, 1872	July 25, 1896	May 7, 1919	March 10, 1919	December 2, 1932	December 2, 1932
Rudolph Gerken	March 7, 1887	July 10, 1917	April 26, 1927	June 2, 1933	March 2, 1943	March 2, 1943
Edwin Byrne	August 9, 1891	May 22, 1915	November 30, 1925	June 12, 1943	July 26, 1963	July 26, 1963
James Peter Davis	June 9, 1904	May 19, 1929	October 6, 1943	January 3, 1964	June 1, 1974	March 4, 1988
Robert Fortune Sanchez	March 20, 1934	December 20, 1959	July 25, 1974	June 1, 1974	April 6, 1993	January 20, 2012
