Name	Coaching career	Played	Drawn	Lost	Win %	Points per game
Tom Sneddon Category:Articles with hCards	1954–1956	6	4	1	16.7	1.17
Lai Shiu Wing Category:Articles with hCards	1958–1967	43	6	21	37.2	1.26
Fei Chun Wah Category:Articles with hCards	1964	5	1	4	00.0	0.20
Chu Wing Keung Category:Articles with hCards	1967	2	0	2	0.00	0.00
Tang Sum Category:Articles with hCards	1968	5	1	4	00.0	0.20
Lau Tim Category:Articles with hCards	1968	5	3	2	00.0	0.60
Hui King Shing Category:Articles with hCards	1969–1970	3	1	2	00.0	0.33
Chan Fai Hung Category:Articles with hCards	1970–1972	23	3	13	30.4	1.04
Ho Ying Fun Category:Articles with hCards	1973–1975	23	6	8	39.1	1.43
Franz van Balkom Category:Articles with hCards	1976–1977	21	2	12	33.3	1.10
Chan Yong Chong Category:Articles with hCards	1978–1979	7	1	2	57.1	1.86
Peter McParland Category:Articles with hCards	1980	4	0	3	25.0	0.75
George Knobel Category:Articles with hCards	1980-1981	7	2	3	28.6	1.14
Kwok Ka Ming Category:Articles with hCards	1982–1990 1997	47	11	20	34.0	1.26
Sebastian Araujo Category:Articles with hCards	1998-2000	6	1	5	00.0	0.17
Arie van der Zouwen Category:Articles with hCards	2000–2002	13	2	8	23.1	0.85
Lai Sun Cheung Category:Articles with hCards	2003–2007 2007	45	9	21	33.3	1.20
Lee Kin Wo Category:Articles with hCards	2007	5	1	2	40.0	1.20
Dejan Antonić Goran Paulić	2008–2009	4	0	2	50.0	1.50
Tsang Wai Chung Category:Articles with hCards	1991-1997 2010–2011	38	8	19	28.9	1.08
Liu Chun Fai (caretaker)	2011–2012	7	2	1	57.1	2.00
Ernie Merrick	2012	5	0	3	40.0	1.20
Kim Pan-Gon	2009-2010 2012–	17	3	9	29.4	1.06
Totals	Totals	359	67	170	29.9	1.08
