Date	Album name	Track	Track title	Lyricist	Music genre/style	Major instrument(s)	Lyrics theme/style	Duration
2000-11-07	Jay 周杰倫同名專輯	1-01	Adorable Woman 可愛女人 (kě ài nǚ rén)	Vivian Hsu 徐若瑄	R&B	Guitar ( acoustic )	Romance	3:59
2000-11-07	Jay 周杰倫同名專輯	1-02	Perfection 完美主義 (wán měi zhǔ yì)	Vincent Fang 方文山	R&B	Piano	Romance	4:04
2000-11-07	Jay 周杰倫同名專輯	1-03	Starry Mood 星晴 (xīng qíng)	Jay Chou 周杰倫	R&B	Guitar ( acoustic )	Romance	4:20
2000-11-07	Jay 周杰倫同名專輯	1-04	Wife 娘子 (niángzi)	Vincent Fang 方文山	"Zhong guo feng", hip-hop	Guitar ( acoustic )	Romance	4:30
2000-11-07	Jay 周杰倫同名專輯	1-05	Bullfight 鬥牛 (dòu niú)	Vincent Fang 方文山	Hip-hop, electronic	Synthesizer	Competition, sportsmanship, basketball	4:38
2000-11-07	Jay 周杰倫同名專輯	1-06	Black Humour 黑色幽默 (hēi sè yōu mò)	Jay Chou 周杰倫	R&B	Piano	Romance	4:43
2000-11-07	Jay 周杰倫同名專輯	1-07	Istanbul 伊斯坦堡	Vivian Hsu 徐若瑄	R&B	Synthesizer	Romance	3:29
2000-11-07	Jay 周杰倫同名專輯	1-08	Old Indian Turtledove 印地安老斑鳩 (yìndìān lǎo bān jiū)	Vincent Fang 方文山	Hip-hop	Synthesizer	Humor	5:04
2000-11-07	Jay 周杰倫同名專輯	1-09	Tornado 龍捲風	Vivian Hsu 徐若瑄	R&B	Guitar, piano , violin	Romance	4:11
2001-09-01	Fantasy 范特西	2-01	Love Before A.D. 愛在西元前	Vincent Fang 方文山	R&B	Guitar ( acoustic )	Romance	3:50
2001-09-01	Fantasy 范特西	2-02	Dad, I'm Back 爸，我回來了	Jay Chou 周杰倫	Hip hop soul	Violin , cello , guitar ( acoustic )	Family, domestic violence	3:51
2001-09-01	Fantasy 范特西	2-03	Simple Love 簡單愛	Vivian Hsu 徐若瑄	Pop, R&B	Guitar ( acoustic )	Romance	4:28
2001-09-01	Fantasy 范特西	2-04	Ninja 忍者	Vincent Fang 方文山	Rock, electronic	Synthesizer	Combat	2:35
2001-09-01	Fantasy 范特西	2-05	Can't Speak 開不了口	Vivian Hsu 徐若瑄	R&B	Guitar ( acoustic ), violin , cello	Romance	4:46
2001-09-01	Fantasy 范特西	2-06	Shanghai 1943 上海一九四三	Vincent Fang 方文山	R&B	Guitar ( acoustic )	Chinese history, family	3:13
2001-09-01	Fantasy 范特西	2-07	Sorry 對不起	Vincent Fang 方文山	R&B, hip-hip	Guitar ( acoustic )	Romance	4:45
2001-09-01	Fantasy 范特西	2-08	William's Castle 威廉古堡	Vincent Fang 方文山	Electronic, hip-hop	Synthesizer , organ	Humor, vampires	3:55
2001-09-01	Fantasy 范特西	2-09	Nunchucks 雙截棍	Vincent Fang 方文山	"Zhong guo feng", rock	Guitar ( electric ), erhu	Combat	3:18
2001-09-01	Fantasy 范特西	2-10	Silence 安靜	Jay Chou 周杰倫	R&B	Piano , violin , cello	Romance	5:30
2002-07-19	Eight Dimensions 八度空間	3-01	The Orcs 半獸人	Vincent Fang 方文山	Hip-hop, orchestra	Orchestra, synthesizer	Fantasy, Warcraft	4:05
2002-07-19	Eight Dimensions 八度空間	3-02	Peninsular Metal Box 半島鐵盒 (Bàndǎo tiě hé)	Jay Chou 周杰倫	R&B	Guitar ( acoustic )	Romance	5:17
2002-07-19	Eight Dimensions 八度空間	3-03	Secret Code 暗號	Xu Shi Chang 許世昌	R&B	Guitar ( acoustic )	Romance	4:29
2002-07-19	Eight Dimensions 八度空間	3-04	Dragon Fist 龍拳	Vincent Fang 方文山	"Zhong guo feng", rock	Guitar ( electric )	Chinese pride, Chinese history	4:32
2002-07-19	Eight Dimensions 八度空間	3-05	Where Is The Train Going 火車叨位去	Vincent Fang 方文山	R&B, hip-hop	Guitar ( acoustic )	Romance	4:37
2002-07-19	Eight Dimensions 八度空間	3-06	Split/Leave 分裂/离开	Jay Chou 周杰倫	R&B	Piano , violin , cello	Academic failure	4:12
2002-07-19	Eight Dimensions 八度空間	3-07	Grandfather's Tea 爺爺泡的茶	Vincent Fang 方文山	Pop	Guitar ( acoustic ), violin	Family, grandfather	3:58
2002-07-19	Eight Dimensions 八度空間	3-08	Return To The Past 回到過去	Liu Geng Hong 劉耕宏	R&B	Guitar ( acoustic )	Romance	3:51
2002-07-19	Eight Dimensions 八度空間	3-09	Milan's Little Blacksmith 米蘭的小鐵匠	Vincent Fang 方文山	Hip-hop	Guitar ( acoustic )	Humor	3:58
2002-07-19	Eight Dimensions 八度空間	3-10	Last Battle 最後的戰役	Vincent Fang 方文山	R&B, orchestra	Guitar ( acoustic ), violin , cello	War, friendship, death	4:11
2003-07-31	Ye Hui Mei 葉惠美	4-01	In Name Of Father 以父之名 (Yǐ fǔ zhī míng)	Huang Jun Lang 黃俊郎	Hip hop soul	Guitar ( acoustic ), synthesizer	Sin, forgiveness	5:39
2003-07-31	Ye Hui Mei 葉惠美	4-02	Coward 懦夫	Jay Chou 周杰倫	Rock	Guitar ( electric )	Drug addition	3:36
2003-07-31	Ye Hui Mei 葉惠美	4-03	Fine Day 晴天	Jay Chou 周杰倫	R&B	Guitar ( acoustic )	Romance	4:29
2003-07-31	Ye Hui Mei 葉惠美	4-04	Third Year Second Class 三年二班	Vincent Fang 方文山	Hip-hop	Violin , cello , guitar ( bass )	Competition, sportsmanship, ping-pong	4:40
2003-07-31	Ye Hui Mei 葉惠美	4-05	East Wind Breaks 東風破	Vincent Fang 方文山	"Zhong guo feng", R&B	Erhu , pipa	Romance	5:13
2003-07-31	Ye Hui Mei 葉惠美	4-06	Can You Hear 妳聽得到	Zeng Yu Ting 曾郁婷	R&B	Piano , synthesizer	Romance	3:49
2003-07-31	Ye Hui Mei 葉惠美	4-07	The Same Tune 同一種調調	Vincent Fang 方文山	Hip-hop, Tango	Violin , guitar ( acoustic )	Friendship	3:50
2003-07-31	Ye Hui Mei 葉惠美	4-08	Her Eyelashes 她的睫毛	Vincent Fang 方文山	Soft rock, R&B	Guitar ( electric )	Romance	3:52
2003-07-31	Ye Hui Mei 葉惠美	4-09	Cliff of Love 愛情懸崖	Vivian Hsu 徐若瑄	R&B	Piano , violin , cello , guitar ( electric )	Romance	4:19
2003-07-31	Ye Hui Mei 葉惠美	4-10	Terrace Fields 梯田	Jay Chou 周杰倫	Hip-hop	Piano , horn	Eco-awareness, urbanization	3:33
2003-07-31	Ye Hui Mei 葉惠美	4-11	Double Sabre 雙刀	Vincent Fang 方文山	Rock	Guitar ( electric ), violin , cello	Revenge, combat	4:51
2004-02-03	Common Jasmine Orange 七里香	5-01	My Territory 我的地盤	Vincent Fang 方文山	Pop, hip-hop	Piano , harpsichord , scratch	Individualism	4:00
2004-02-03	Common Jasmine Orange 七里香	5-0 2	Common Jasmine Orange 七里香(qī lǐ xiāng)	Vincent Fang 方文山	R&B	Guitar ( acoustic ), violin , cello	Romance	4:05
2004-02-03	Common Jasmine Orange 七里香	5-03	Excuse 藉口	Jay Chou 周杰倫	R&B	Piano	Romance	4:56
2004-02-03	Common Jasmine Orange 七里香	5-04	Grandmother 外婆	Jay Chou 周杰倫	R&B	Synthesizer	Family, grandmother, failure	4:16
2004-02-03	Common Jasmine Orange 七里香	5-05	Checkmate 將軍 (Jiāngjūn)	Huang Jun Lang 黃俊郎	"Zhong guo feng", hip-hop	Violin , synthesizer	Chinese chess	4:01
2004-02-03	Common Jasmine Orange 七里香	5-06	Stranded 擱淺	Devon Song 宋健彰	R&B	Piano , violin , cello	Romance	3:20
2004-02-03	Common Jasmine Orange 七里香	5-08	Desperate Fight Of A Caged Beast 困獸之鬥	Liu Geng Hong 劉耕宏	Rock	Guitar ( electric ), harmonica	Personal struggles	4:37
2004-02-03	Common Jasmine Orange 七里香	5-09	Carnival 園遊會	Vincent Fang 方文山	R&B	Synthesizer , guitar ( acoustic )	Romance	4:28
2005-11-01	November's Chopin 十一月的蕭邦	6-01	Nocturne 夜曲	Vincent Fang 方文山	R&B	Guitar ( acoustic ), Piano	Romance, death	4:34
2005-11-01	November's Chopin 十一月的蕭邦	6-02	Blue Storm 藍色風暴	Vincent Fang 方文山	Rock	Guitar ( electric ), scratch	Bible	4:44
2005-11-01	November's Chopin 十一月的蕭邦	6-03	Snow-like Hair 髮如雪	Vincent Fang 方文山	"Zhong guo feng", R&B	pipa , yangqin , synthesizer	Romance	4:59
2005-11-01	November's Chopin 十一月的蕭邦	6-04	Black Sweater 黑色毛衣	Jay Chou 周杰倫	R&B	Guitar ( acoustic )	Romance	4:00
2005-11-01	November's Chopin 十一月的蕭邦	6-05	No Way Out 四面楚歌	Jay Chou 周杰倫	Hip-hop	Violin , Cello, synthesizer	Paparazzi	4:04
2005-11-01	November's Chopin 十一月的蕭邦	6-06	Maple 楓	Devon Song 宋健彰	R&B	Piano , violin , cello	Romance	4:35
2005-11-01	November's Chopin 十一月的蕭邦	6-07	Romantic Cellphone 浪漫手機	Vincent Fang 方文山	R&B	Guitar ( electric )	Romance	3:57
2005-11-01	November's Chopin 十一月的蕭邦	6-08	The Emperor's Wrath 逆鱗	Huang Jun Lang 黃俊郎	Hip-hop, orchestra	Orchestra	Motivational	3:51
2005-11-01	November's Chopin 十一月的蕭邦	6-09	Maltose 麥芽糖	Vincent Fang 方文山	R&B	Violin , guitar ( electric )	Romance	4:18
2005-11-01	November's Chopin 十一月的蕭邦	6-10	The Coral Sea 珊瑚海	Vincent Fang 方文山	R&B	Piano , violin , guitar ( acoustic , electric )	Romance	4:14
2005-11-01	November's Chopin 十一月的蕭邦	6-11	Drifting 飄移	Vincent Fang 方文山	Electronic, hip-hop	Synthesizer	Competition, car race	3:46
2005-11-01	November's Chopin 十一月的蕭邦	6-12	All The Way North 一路向北	Vincent Fang 方文山	Soft rock	Guitar ( electric )	Romance	4:52
2006-09-05	Still Fantasy 依然范特西	7-01	Twilight's Chapter Seven 夜的第七章 (Yè de dì qī zhāng)	Huang Jun Lang 黃俊郎	Hip-hop, orchestra	Violin , cello , piano , synthesizer	Detective story	3:46
2006-09-05	Still Fantasy 依然范特西	7-02	Listen To Your Mother 聽媽媽的話 (Tīng māmā dehuà)	Jay Chou 周杰倫	Hip-hop, lullaby	Piano , harpsichord	Family, mother, filial piety	4:23
2006-09-05	Still Fantasy 依然范特西	7-03	Faraway 千里之外 (Qiānlǐ zhī wài)	Vincent Fang 方文山	"Zhong guo feng", R&B	Erhu , Piano , pipa	Romance	4:14
2006-09-05	Still Fantasy 依然范特西	7-04	Herbalist's Manual 本草綱目 (Běncǎo gāngmù)	Vincent Fang 方文山	Hip-hop, electronic	Synthesizer	Chinese pride, Chinese medicine	3:27
2006-09-05	Still Fantasy 依然范特西	7-05	Retreat 退後 (Tuì hòu)	Devon Song 宋健彰	R&B	Piano, guitar ( acoustic )	Romance	4:20
2006-09-05	Still Fantasy 依然范特西	7-06	Popular Imitation 紅模仿 (Hóng mú fǎng)	Jay Chou 周杰倫	Spanish	Guitar ( acoustic ), trumpet	Individualism, motivational	3:03
2006-09-05	Still Fantasy 依然范特西	7-07	Heart's Rain 心雨 (Xīn yǔ)	Vincent Fang 方文山	R&B	Violin , cello , piano	Romance	4:27
2006-09-05	Still Fantasy 依然范特西	7-08	White Windmill 白色風車 (Báisè fēngchē)	Jay Chou 周杰倫	R&B	Violin , synthesizer	Romance	4:30
2006-09-05	Still Fantasy 依然范特西	7-09	Rosemary 迷迭香 (Mí dié xiāng)	Vincent Fang 方文山	Bossanova	Violin , cello , guitar ( acoustic )	Romance, physical attraction	4:10
