NGC number	Object type	Constellation	Right ascension ( J2000 )	Declination ( J2000 )
2903	Spiral galaxy	Leo	09h32m09.7s	°30′03″
2915	Irregular galaxy	Chamaeleon	09h26m11.5s	°37′35″
2935	Spiral galaxy	Hydra	09h36m44.6s	°07′41″
2964	Spiral galaxy	Leo	09h42m54.2s	°50′49″
2968	Irregular galaxy	Leo	09h43m12.1s	°55′42″
2972	Open cluster	Vela	09h40m28.5s	°20′10″
2976	Spiral galaxy	Ursa Major	09h47m15.5s	°55′03″
2997	Spiral galaxy	Antlia	09h45m38.7s	°11′25″
2998	Spiral galaxy	Ursa Major	09h48m43.6s	°04′51″
2999	Open cluster	Vela	09h40m28.5s	°20′10″
3000	Double star	Ursa Major	09h49m	°08′
