Date	Tournament	Winning score	Margin of victory	Runner(s)-up
Oct 6, 1992	Mazda Presents The Senior Players Championship	−11 (71−67−70−69=277)	1 stroke	J. C. Snead , Lee Trevino
Apr 25, 1993	Muratec Reunion Pro-Am	–5 (73-72-66=211)	4 strokes	Harold Henning
Jun 13, 1993	Southwestern Bell Classic	–6 (65-68-71=204)	1 stroke	Larry Mowry , Walt Zembriski
Aug 15, 1993	Franklin Quest Championship	–19 (68-66-63=197)	9 strokes	Al Geiberger
Aug 22, 1993	GTE Northwest Classic	–16 (65-68-67=200)	4 strokes	Dale Douglass
Oct 10, 1993	The Transamerica	–13 (68-71-64=203)	1 stroke	Simon Hobday , Lee Trevino
Jun 12, 1994	Nationwide Championship	–18 (67-66-65=198)	1 stroke	Bob Murphy
Jun 26, 1994	Ford Senior Players Championship	–17 (66-66-71-68=271)	6 strokes	Jim Albus
Aug 21, 1994	Burnet Senior Classic	–13 (68-66-69=203)	1 stroke	Jim Albus
Feb 19, 1995	GTE Suncoast Classic	–9 (70-66-68=204)	2 strokes	Bob Charles , Jim Colbert , J. C. Snead
May 28, 1995	Quicksilver Classic	–10 (72-69-67=206)	1 stroke	Isao Aoki
Jul 7, 1996	U.S. Senior Open	–11 (70-67-67-73=277)	2 strokes	Hale Irwin
Aug 11, 1996	First of America Classic	–10 (68-69-69=206)	1 stroke	Bob Murphy
Jul 27, 1997	Franklin Quest Championship	–15 (69-64-68=201)	2 strokes	Kermit Zarley
