No.	#	Title	Directed by	Written by	U.S. viewers (million)	Original air date	Production code
80	1	"High Exposure"	Alex Zakrzewski	Nicolas Falacci & Cheryl Heuton	8.21	October3,2008	501
81	2	"The Decoy Effect"	Ralph Hemecker	Ken Sanzel	8.01	October10,2008	502
82	3	"Blowback"	Dennis Smith	Robert Port	8.68	October17,2008	503
83	4	"Jack of All Trades"	Stephen Gyllenhaal	Andrew Dettmann	9.33	October24,2008	504
84	5	"Scan Man"	Craig Ross, Jr.	Don McGill	10.72	October31,2008	505
85	6	"Magic Show"	John Behring	Sean Crouch	11.28	November7,2008	506
86	7	"Charlie Don't Surf"	Emilio Estevez	Steve Hawk	9.29	November14,2008	507
87	8	" Thirty-Six Hours "	Rod Holcomb	Julie Hébert	11.30	November21,2008	508
88	9	"Conspiracy Theory"	Dennis Smith	Robert Port	9.88	December5,2008	509
89	10	"Frienemies"	Steve Boyum	Nicolas Falacci & Cheryl Heuton	9.18	December19,2008	510
90	11	" Arrow of Time "	Ken Sanzel	Ken Sanzel	10.14	January9,2009	511
91	12	"Jacked"	Stephen Gyllenhaal	Don McGill	11.02	January16,2009	512
92	13	"Trouble In Chinatown"	Julie Hébert	Peter MacNicol	10.96	January23,2009	513
93	14	"Sneakerhead"	Emilio Estevez	Aaron Rahsaan Thomas	10.30	February6,2009	514
94	15	"Guilt Trip"	Gwyneth Horder-Payton	Mary Leah Sutton	9.10	February13,2009	515
95	16	"Cover Me"	Rob Morrow	Andrew Dettmann	9.62	February27,2009	516
96	17	"First Law"	Steve Boyum	Sean Crouch	10.12	March6,2009	517
97	18	"12:01 AM"	Ralph Helmecker	Robert Port	9.51	March13,2009	518
98	19	"Animal Rites"	Ron Garcia	Julie Hébert	9.80	April10,2009	519
99	20	" The Fifth Man "	Ken Sanzel	Don McGill	8.82	April24,2009	520
100	21	" Disturbed "	Dennis Smith	Nicolas Falacci & Cheryl Heuton	9.70	May1,2009	521
101	22	"Greatest Hits"	Stephen Gyllenhaal	Andrew Dettmann	9.57	May8,2009	522
