Date	Episode	Performer 1	Performer 2	Performer 3	Performer 4
18 January 1991	1	Josie Lawrence	Greg Proops	Jim Sweeney	Tony Slattery
25 January 1991	2	Josie Lawrence	Mark Cohen	Tony Slattery	Mike McShane
1 February 1991	3	Mike McShane	Sandi Toksvig	Paul Merton	Jim Sweeney
8 February 1991	4	Josie Lawrence	Paul Merton	Julian Clary	Mike McShane
15 February 1991	5	Mike McShane	Colin Mochrie	Sandi Toksvig	Tony Slattery
22 February 1991	6	Mike McShane	Josie Lawrence	Denalda Williams	Sandi Toksvig
1 March 1991	7	Mike McShane	Paul Merton	Steve Steen	Jim Sweeney
8 March 1991	8	Greg Proops	Sandi Toksvig	Tony Slattery	Mike McShane
15 March 1991	9	London Compilation	London Compilation	London Compilation	London Compilation
22 March 1991	10	Josie Lawrence	Ryan Stiles	Christopher Smith	Jim Meskimen
29 March 1991	11	Mike McShane	Mark Cohen	Greg Proops	John Sessions
5 April 1991	12	Josie Lawrence	Ryan Stiles	Colin Mochrie	Mike McShane
12 April 1991	13	Christopher Smith	Sandi Toksvig	Jim Meskimen	Mike McShane
19 April 1991	14	John Sessions	Archie Hahn	Ryan Stiles	Mike McShane
26 April 1991	15	Greg Proops	George McGrath	Ryan Stiles	Mike McShane
3 May 1991	16	Josie Lawrence	Greg Proops	Sandi Toksvig	Mike McShane
10 May 1991	17	New York Compilation	New York Compilation	New York Compilation	New York Compilation
