Tie no	Home team	Score	Away team	Attendance
1	Aston Villa	4–0	West Bromwich Albion	24 January 1998
2	Sheffield Wednesday	0–3	Blackburn Rovers	26 January 1998
3	Middlesbrough	1–2	Arsenal	24 January 1998
4	Ipswich Town	1–1	Sheffield United	24 January 1998
Replay	Sheffield United	1–0	Ipswich Town	3 February 1998
5	Tranmere Rovers	1–0	Sunderland	24 January 1998
6	Tottenham Hotspur	1–1	Barnsley	24 January 1998
Replay	Barnsley	3–1	Tottenham Hotspur	4 February 1998
7	Manchester City	1–2	West Ham United	25 January 1998
8	Coventry City	2–0	Derby County	24 January 1998
9	Manchester United	5–1	Walsall	24 January 1998
10	Crystal Palace	3–0	Leicester City	24 January 1998
11	Huddersfield Town	0–1	Wimbledon	24 January 1998
12	Cardiff City	1–1	Reading	24 January 1998
Replay	Reading	1–1	Cardiff City	3 February 1998
Reading won 4–3 on penalties	Reading won 4–3 on penalties	Reading won 4–3 on penalties	Reading won 4–3 on penalties	Reading won 4–3 on penalties
13	Charlton Athletic	1–1	Wolverhampton Wanderers	24 January 1998
Replay	Wolverhampton Wanderers	3–0	Charlton Athletic	3 February 1998
14	Leeds United	2–0	Grimsby Town	24 January 1998
15	Birmingham City	2–1	Stockport County	24 January 1998
16	Stevenage Borough	1–1	Newcastle United	25 January 1998
Replay	Newcastle United	2–1	Stevenage Borough	4 February 1998
