Driver	Team	Laps	Time/Retired	Grid
Paul Tracy	Newman-Haas Racing	65	1:58:26.054	9
Bobby Rahal	Rahal/Hogan Racing	65	+7.0 secs	13
Scott Pruett	Patrick Racing	65	+7.7 secs	11
Maurício Gugelmin	PacWest Racing	65	+13.5 secs	10
Danny Sullivan	PacWest Racing	65	+19.1 secs	19
Al Unser, Jr.	Marlboro Team Penske	65	+35.3 secs	3
Eddie Cheever	A. J. Foyt Enterprises	65	+36.3 secs	17
Raul Boesel	Rahal/Hogan Racing	65	+44.5 secs	21
Michael Andretti	Newman-Haas Racing	64	+ 1 lap	1
Eliseo Salazar	Dick Simon Racing	64	+ 1 lap	23
Hiro Matsushita	Arciero Racing	62	+ 3 laps	26
Dean Hall	Dick Simon Racing	61	+ 4 laps	25
Teo Fabi	Forsythe Racing	60	+ 5 laps	5
Robby Gordon	Walker Racing	59	Electrical	15
Bryan Herta	Target Chip Ganassi	58	Contact	18
Gil de Ferran	Jim Hall Racing	54	Contact	6
Stefan Johansson	Bettenhausen Motorsports	53	Transmission	7
Emerson Fittipaldi	Marlboro Team Penske	52	Electrical	4
Alessandro Zampedri	Dale Coyne Racing	51	+ 14 laps	20
Jacques Villeneuve	Team Green	38	Transmission	2
Buddy Lazier	Project Indy	32	Transmission	24
Eric Bachelart	Dale Coyne Racing	31	Transmission	16
André Ribeiro	Tasman Motorsports	23	Transmission	22
Jimmy Vasser	Target Chip Ganassi	19	Transmission	8
Christian Fittipaldi	Walker Racing	11	Transmission	14
Adrián Fernández	Galles Racing	3	Contact	12
