Week	Date	Opponent	Result	Attendance
1	September 17, 1967	New York Giants	L 37-20	40,801
2	September 24, 1967	at Pittsburgh Steelers	W 28-14	45,579
3	October 1, 1967	Detroit Lions	W 38-28	43,821
4	October 8, 1967	at Minnesota Vikings	W 34-24	40,017
5	October 15, 1967	at Cleveland Browns	L 20-16	77,813
6	October 22, 1967	Philadelphia Eagles	W 48-14	46,562
7	October 30, 1967	Green Bay Packers	L 31-23	49,792
8	November 5, 1967	at Washington Redskins	W 27-21	50,480
9	November 12, 1967	Pittsburgh Steelers	T 14-14	46,994
10	November 19, 1967	at Chicago Bears	L 30-3	47,417
11	November 23, 1967	at Dallas Cowboys	L 46-21	68,787
12	December 3, 1967	New Orleans Saints	W 31-20	41,171
13	December 10, 1967	Cleveland Browns	L 20-16	47,782
14	December 17, 1967	at New York Giants	L 37-14	62,955
