Game	Date	Team	Score	High points	High rebounds	High assists	Location Attendance	Record
60	March 2	@ Miami	W 89–86 (OT)	Vince Carter (27)	Chris Bosh (9)	Vince Carter (8)	American Airlines Arena 14,178	26–34
61	March 3	@ Washington	L 70–84 (OT)	Donyell Marshall (22)	Donyell Marshall (10)	Milt Palacio (8)	MCI Center 13,921	26–35
62	March 5	New York	L 103–109 (OT)	Vince Carter (32)	Donyell Marshall (11)	Vince Carter (9)	Air Canada Centre 19,287	26–36
63	March 7	New Orleans	W 84–76 (OT)	Vince Carter (26)	Donyell Marshall (14)	Vince Carter (8)	Air Canada Centre 17,031	27–36
64	March 9	@ Indiana	L 84–94 (OT)	Vince Carter (28)	Donyell Marshall (13)	Rod Strickland (16)	Conseco Fieldhouse 15,123	27–37
65	March 10	Cleveland	L 92–106 (OT)	Vince Carter (19)	Donyell Marshall (12)	Rod Strickland (6)	Air Canada Centre 17,459	27–38
66	March 14	Atlanta	W 101–84 (OT)	Vince Carter (32)	Chris Bosh (16)	Vince Carter , Jalen Rose (7)	Air Canada Centre 17,628	28–38
67	March 17	Utah	W 85–81 (OT)	Vince Carter (24)	Vince Carter (9)	Jalen Rose (6)	Air Canada Centre 17,875	29–38
68	March 19	Chicago	L 91–96 (OT)	Vince Carter (30)	Chris Bosh (14)	Jalen Rose (6)	Air Canada Centre 19,348	29–39
69	March 21	@ New Orleans	W 121–120 (OT)	Vince Carter (42)	Donyell Marshall (7)	Vince Carter (12)	New Orleans Arena 14,307	30–39
70	March 23	@ Memphis	L 86–95 (OT)	Vince Carter (30)	Donyell Marshall (17)	Jalen Rose (5)	Pyramid Arena 13,191	30–40
71	March 24	@ Houston	L 89–90 (OT)	Vince Carter (26)	Vince Carter (13)	Jalen Rose (7)	Toyota Center 14,388	30–41
72	March 26	@ New York	L 101–108 (OT)	Vince Carter (40)	Chris Bosh (9)	Jalen Rose (9)	Madison Square Garden 19,763	30–42
73	March 28	Memphis	L 88–94 (OT)	Jalen Rose (18)	Donyell Marshall (14)	Vince Carter (9)	Air Canada Centre 19,088	30–43
74	March 31	Golden State	L 78–85 (OT)	Vince Carter (22)	Donyell Marshall (16)	Jalen Rose (4)	Air Canada Centre 17,116	30–44
