Departure	Going to	Calling at	Arrival	Operator
07.10	Skegness	Wainfleet, Skegness	07.28	GNR
08.47	Spilsby	Halton Holegate, Spilsby	09.01	GNR
10.25	Peterborough North	Boston, Spalding, Peterborough North	11.33	GNR
10.28	Spilsby	Halton Holegate, Spilsby	10.39	GNR
11.02	Mablethorpe	Willoughby, Mumby Road, Sutton-on-Sea, Mablethorpe	11.32	GNR
11.15	Spilsby	Halton Holegate, Spilsby	11.30	GNR
11.37 (Mon)	Skegness	Skegness	11.52	GNR
11.49	Mablethorpe	Willoughby, Mumby Road, Sutton-on-Sea, Mablethorpe	12.20	GNR
11.53	Skegness	Skegness	12.08	GNR
12.40	Boston	Boston	13.00	GNR
13.10	Spilsby	Halton Holegate, Spilsby	13.21	GNR
16.15	Spilsby	Halton Holegate, Spilsby	16.29	GNR
17.03	Nottingham Victoria	Boston, Sleaford, Nottingham Victoria	18.46	GNR
18.16	Spilsby	Halton Holegate, Spilsby	18.27	GNR
19.07	Grimsby Town	Willoughby, Alford, Louth, Waltham, Grimsby Town	20.00	GNR
19.15 (Fri)	Skegness	Skegness	19.30	GNR
19.15 (Fri)	Mablethorpe	Willoughby, Mumby Road, Sutton-on-Sea, Mablethorpe	19.50	GNR
19.23	Spilsby	Halton Holegate, Spilsby	19.34	GNR
21.00	Grimsby Town	Alford, Louth, Waltham, Grimsby Town	21.53	GNR
21.06	Peterborough North	Boston, Spalding, Peterborough North	22.23	GNR
21.08	Skegness	Wainfleet, Skegness	21.26	GNR
