Stage	Start time	Stage name	Distance	Winning driver	Time	Avg. Speed	Rally leader
SS1	15:00	Col du Corobin	17.00km	Sandro Munari Hannu Mikkola	13 m : 29 s	75.65km/h	Sandro Munari
SS2	10:36	Pont des Miolans	26.00km	Jean-Claude Andruet Jean-Luc Therier	19 m : 13 s	81.18km/h	Hannu Mikkola
SS3	13:49	Laborel	20.00km	Hannu Mikkola	15 m : 45 s	76.19km/h	Hannu Mikkola
SS4	17:11	Burzet	50.00km	Jean-Claude Andruet	38 m : 10 s	78.60km/h	Jean-Claude Andruet
SS5	19:22	Le Moulinon	38.00km	Bernard Darniche	27 m : 46 s	82.11km/h	Jean-Claude Andruet
SS6	21:46	St. Bonnet le Froid	20.00km	Sandro Munari	14 m : 51 s	80.81km/h	Jean-Claude Andruet
SS7	23:55	St. Jean-en-Royan	36.00km	Jean-Claude Andruet	27 m : 37 s	78.21km/h	Jean-Claude Andruet
SS8	03:28	St. Barthelemy	40.00km	Bernard Darniche	30 m : 55 s	77.63km/h	Jean-Claude Andruet
SS9	06:14	Savines	20.00km	Bernard Darniche	14 m : 43 s	81.54km/h	Jean-Claude Andruet
SS10	11:10	Col de la Porte	18.25km	Cancelled	Cancelled	Cancelled	Jean-Claude Andruet
SS11	11:31	La Cabanette	18.25km	Cancelled	Cancelled	Cancelled	Jean-Claude Andruet
SS12	19:00	Col de la Madone - Col Banquettes	18.00km	Ove Andersson	15 m : 22 s	70.28km/h	Jean-Claude Andruet
SS13	20:13	Le Moulinet - La Bollene	23.00km	Harry Kallstrom	21 m : 50 s	63.21km/h	Jean-Claude Andruet
SS14	21:27	St. Sauveur - Beuil 1	24.00km	Timo Makinen	18 m : 40 s	77.14km/h	Jean-Claude Andruet
SS15	23:56	La Bollene - Le Moulinet 1	23.00km	Jean-François Piot	21 m : 34 s	63.99km/h	Ove Andersson
SS16	02:33	St. Sauveur - Beuil 2	24.00km	Jean-Claude Andruet Jean-Pierre Nicolas	18 m : 24 s	78.26km/h	Ove Andersson
SS17	05:02	La Bollene - Le Moulinet 2	23.00km	Timo Makinen	21 m : 26 s	64.39km/h	Jean-Claude Andruet
SS18	06:20	Col Banquettes - Col de la Modene	18.00km	Jean-Claude Andruet	15 m : 11 s	71.13km/h	Jean-Claude Andruet
