Class	Team	Driver	Chassis – Engine	Laps
C1	Liqui Moly Equipe	Mauro Baldi	Porsche 962 C	77
C1	Porsche AG	Hans-Joachim Stuck	Porsche 962 C	77
C1	Brun Motorsport	Oscar Larrauri	Porsche 962 C	75
C1	Porsche Kremer Racing	Volker Weidler	Porsche 962 C	75
C1	Joest Racing	"John Winter"	Porsche 962 C	75
C2	Spice Engineering	Fermín Vélez	Spice SE86C – Ford	73
C1	Primagaz Competition	Jürgen Lässig	Porsche 962 C	73
C2	Spice Engineering	Ray Bellm	Spice SE87C – Ford	73
C2	Swiftair Ecurie Ecosse	Ray Mallock	Ecosse C286 – Ford	72
C2	Swiftair Ecurie Ecosse	Win Percy	Ecosse C286 – Ford	71
C2	Kelmar Racing	Maurizio Gellini	Tiga GC85 – Ford	71
C1	Silk Cut Jaguar	Eddie Cheever	Jaguar XJR-8	70
C1	Brun Motorsport	Walter Brun	Porsche 962 C	69
C2	Schanche Racing	Will Hoy	Argo JM19B – Zakspeed	59
C2	Tiga Ford Denmark	Thorkild Thyrring	Tiga GC287 – Ford	59
C1	Blaupunkt Joest Racing	Frank Jelinski	Porsche 962 C	76
C1	Blaupunkt Joest Racing	Bob Wollek	Porsche 962 C	76
C1	Victor - Dauer Racing	Jochen Dauer	Porsche 962 C	75
C2	URD Junior Team	Rudi Seher	URD C81/2 – BMW	69
C1	Brun Motorsport	Jochen Mass	Porsche 962 C	47
C1	Silk Cut Jaguar	Jan Lammers	Jaguar XJR-8	42
C1	Formel Rennsportclub	Mike Thackwell	Sauber C9 – Mercedes-Benz	40
C1	Walter Lechner Racing	Walter Lechner	Porsche 962 C	29
C1	Mussato Action Car	Bruno Giacomelli	Lancia LC2 – Ferrari	26
C2	Karl-Heinz Becker	Karl-Heinz Becker	Lola T600 – BMW	13
C2	John Bartlett Racing	Rob Wilson	Bardon DB1/2 – Ford	0
C2	GP Motorsport	Costas Los	Tiga GC287 – Ford	0
