Position	Pilot	Country	Glider	Points
1	Sebastian Kawa	Poland	Diana Sailplanes - Diana 2	30
2	Uli Schwenk	Germany	Schempp-Hirth Flugzeugbau GmbH - Ventus 2ax	25
2	Ben Flewett	New Zealand	Alexander Schleicher GmbH & Co - ASW 27	25
4	Steve Jones	United Kingdom	Schempp-Hirth Flugzeugbau GmbH - Ventus 2ax	24
5	Petr Krejcirik	Czech Republic	Schempp-Hirth Flugzeugbau GmbH - Ventus 2ax	17
5	Michael Sommer	Germany	Alexander Schleicher GmbH & Co - ASG 29	17
7	Mario Kiessling	Germany	Schempp-Hirth Flugzeugbau GmbH - Ventus 2ax	15
8	Bruce Taylor	Australia	Alexander Schleicher GmbH & Co - ASW 27	14
8	Giorgio Galetto	Italy	Schempp-Hirth Flugzeugbau GmbH - Ventus 2ax	14
10	Peter Harvey	United Kingdom	Alexander Schleicher GmbH & Co - ASW 27	13
11	Mark Holliday	South Africa	Alexander Schleicher GmbH & Co - ASW 27	10
12	Christophe Ruch	France	Schempp-Hirth Flugzeugbau GmbH - Ventus 2a	9
13	Erwin Sommer	Germany	Schempp-Hirth Flugzeugbau GmbH - Ventus 2ax	7
14	Herbert Weiss	Germany	Alexander Schleicher GmbH & Co - ASG 29	4
15	Didier Hauss	France	Schempp-Hirth Flugzeugbau GmbH - Ventus 2cxT	3
15	Oscar Goudriaan	South Africa	Schempp-Hirth Flugzeugbau GmbH - Ventus	3
17	Vladimir Panafutin	Russia	Rolladen-Schneider Flugzeugbau GmbH - LS6C	0
17	Tim McAllister	USA	Schempp-Hirth Flugzeugbau GmbH - Ventus C	0
