Nationality	Position	Leeds career	Appearances	Goals
England	36 CB	1920–1926	208	2
Scotland	36 LB	1920–1924	99	0
England	36 CB	1920–1925	211	0
England	36 ST	1921–1925	116	50
England	36 CB	1920–1936	472	15
Scotland	21 RW	1922–1925	134	15
Scotland	21 LB	1922–1932	260	2
England	21 CB	1924–1934	150	3
Scotland	21 CB	1925–1931	167	2
England	21 RW	1925–1932	215	46
Ireland	21 W	1925–1936	196	47
England	36 DF	1925–1943	444	6
England	36 IF	1925–1931	226	93
Scotland	36 FW	1925–1931	174	117
England	36 GK	1926–1934	262	0
England	36 FW	1927–1934	169	110
England	36 LW	1928–1936	259	27
England	36 RB	1928–1937	166	1
England	36 LB	1928–1939	408	30
England	36 IL	1928–1937	257	66
England	36 CB	1929-1934 1939-1942	183	4
England	36 RB	1933–1938	140	1
England	36 IL	1934–1944	115	22
Northern Ireland	36 WH	1935–1947	114	0
Wales	36 IL	1935–1948	119	25
England	36 LB	1936–1952	220	17
Northern Ireland	36 GK	1937–1949	111	0
Northern Ireland	36 RW	1937–1950	185	32
England	36 FW	1946–1951	105	46
Scotland	36 RB	1947–1959	443	1
Wales	36 CB/FW	1947-1957 1962	327	157
England	36 MF	1948–1954	259	13
England	36 WH	1948–1954	161	0
England	36 LB	1948–1964	474	2
England	36 GK	1949–1952	116	0
England	36 IL	1949–1955	181	50
Wales	36 RW	1949–1957	228	35
England	36 MF	1949–1959	349	10
England	36 GK	1950–1956	114	0
England	36 CB	1952–1973	772	221
England	36 RW	1952–1959	121	37
England	36 ST	1952–1957	135	48
England	36 GK	1952–1960	203	0
Scotland	36 RW	1952–1960	199	19
England	36 RW	1953–1960	163	20
England	36 W	1956–1960	98	27
Northern Ireland	36 IR	1957–1960	90	9
England	36 IF	1958–1963	80	12
Ireland	36 IL	1958–1963	117	20
Scotland	36 MF	1959–1976	771	115
England	36 HB	1960–1964	120	2
Scotland	36 LB	1960–1967	260	18
South Africa	36 LW	1961–1970	200	68
England	36 RB	1961–1978	745	9
England	36 CB	1961–1976	724	21
England	36 LB	1961–1975	350	11
England	36 CB	1962–1980	724	34
Scotland	36 ST	1962–1978	616	219
Wales	36 GK	1962–1973	506	0
Scotland	36 FW	1962–1967	156	67
Scotland	36 MF	1962–1967	167	25
England	36 IF	1963–1971	128	33
Ireland	36 IF	1963–1975	525	114
England	36 ST	1963–1968	136	36
England	36 MF	1964–1976	187	9
Scotland	36 LW	1965–1984	577	68
Scotland	36 GK	1965-1979 1983-1985	446	0
England	36 RW	1965–1969	121	17
Wales	36 MF	1967–1976	196	12
England	36 FW	1967–1975	312	111
England	36 ST	1969–1978	364	151
Scotland	36 FW	1970–1978	220	48
Scotland	36 LB	1971–1979	246	25
England	36 LB	1972–1982	484	31
Scotland	36 CB	1972–1978	171	19
Wales	36 RW	1973–1982	176	29
Wales	36 DF	1973–1982	110	5
Wales	36 MF	1975–1984	103	3
England	36 FW	1976–1980	103	36
England	36 MF	1976–1979	124	16
Scotland	36 LW	1977–1983	260	47
Wales	36 MF	1977–1982	177	11
England	36 CB	1978–1983	223	20
England	36 GK	1978–1983 1990-1996	430	0
England	36 RW	1979–1983	108	22
England	36 MF	1979–1986	152	4
England	36 CB	1980–1986	119	2
England	36 RB	1981–1989	244	6
Ireland	36 CM	1982–1989	267	52
England	36 ST	1983–1987	159	44
England	36 GK	1985–1993	268	0
England	36 FW	1985-1987 1990-1991	192	58
Scotland	36 DF	1986–1989	119	7
England	36 CB	1986–1991	146	1
England	36 LB	1987–1989	89	3
England	36 FW	1987–1991	127	12
England	36 LB	1987–1992	116	13
England	36 CM	1987-1993 1998-2004	382	4
England	36 ST	1987–1992	110	35
Wales	36 MF	1988–1996	311	57
Wales	21 MF	1989–1990	53	5
Scotland	21 MF	1989–1995	244	45
England	36 CB	1989–1995	240	23
England	36 RB	1989–1993	146	20
England	36 ST	1989–1993	106	25
Scotland	21 MF	1990–1996	294	45
England	36 CB	1990–1993	146	6
England	36 FW	1990–1993 1996	174	80
Ireland	21 RB	1991–2007	531	4
England	36 CB	1991–1999	250	18
England	36 ST	1991–1998	256	66
England	21 LB	1991–1997	208	5
France	36 FW	1992	34	11
England	36 FW	1993-1997 2004-2005	201	45
England	36 MF	1994–1997	130	7
South Africa	36 CB	1994–2005	262	3
Ghana	21 FW	1995–1997	62	33
Ireland	21 LB	1995–2004	288	39
Australia	21 AM	1995–2003	242	63
England	21 GK	1996–2003	273	0
Ireland	21 CM	1996–2004	97	3
Netherlands	36 ST	1997–1999	87	42
England	21 RM	1996–2003	265	55
Norway	36 MF	1997–2000	92	8
England	21 FW	1997–2004	228	56
England	21 GK	1997–2004	119	1
England	21 CB	1996–2003	142	4
Norway	21 MF	1999–2006	196	21
England	21 RB	1999–2004	141	4
England	21 FW	1999–2004	82	21
England	21 LW	1999–2004	106	6
Australia	21 ST	2000–2004	166	72
Scotland	21 DF	2000–2004	146	4
England	21 CB	2000–2007	95	3
England	21 CB	2000–2002	73	2
England	21 RB	2001–2009	173	5
England	21 MF	2002–2004	54	5
England	21 RW	2003–2005	43	1
Northern Ireland	21 ST	2004–2007	121	31
Ireland	21 CB	2004–2007	106	4
Scotland	21 GK	2004–2007	110	0
United States	21 LM	2005–2007	96	9
Angola	21 CB	2005–2010	100	4
Ireland	21 CM	2005–2009	166	11
England	21 CM	2006-2012	225	29
Jamaica	21 ST	2006–2010	152	85
England	21 CM	2006–2009 2012	57	6
Denmark	21 GK	2006–2010	143	0
England	21 MF	2007–2011	139	1
England	21 ♙LB♙L♙L LB	2008-pres.	97	2
Australia	21 CM	2008-2011	144	11
England	21 CM	2008-2011	140	17
Scotland	21 RW	2008-2012	189	41
Argentina	21 FW	2008-2013	221	86
Ivory Coast	21 LW	2009-2011	79	24
Scotland	21 FW	2010-pres.	107	28
England	21 RB	2012-pres.	44	3
