Team	No #	Driver(s)	Sponsor(s)	Test Drivers
Newman/Haas/Lanigan Racing	1	Justin Wilson	McDonald's	N/A
Newman/Haas/Lanigan Racing	2	Graham Rahal	McDonald's	N/A
Forsythe/Pettit Racing	3	Paul Tracy	INDECK	N/A
Forsythe/Pettit Racing	7	Franck Montagny	INDECK	N/A
Minardi Team USA	4	E. J. Viso	PDVSA	N/A
Minardi Team USA	14	Robert Doornbos	Muermans Group/Jumbo Supermarkets/ OzJet	N/A
Team Australia	5	Will Power	Aussie Vineyards	N/A
Team Australia	15	Matt Halliday	Aussie Vineyards	N/A
Rocketsports Racing	8	Enrique Bernoldi	Sangari	N/A
Dale Coyne Racing	11	Bruno Junqueira	TBA	N/A
Dale Coyne Racing	19	Mario Moraes	Sonny's Real Pit Bar-B-Q	N/A
KV Racing Technology	21	Alex Tagliani	TBA	N/A
KV Racing Technology	22	Oriol Servià	TBA	N/A
Pacific Coast Motorsports	29	Alex Figge	Imperial Capital Bank	David Martínez
Pacific Coast Motorsports	96	Mario Domínguez	Mexico City Tourism Board	David Martínez
Conquest Racing	24	Franck Perera	ARES	N/A
Conquest Racing	34	Nelson Philippe	Juniper Property Development Group	N/A
