Date	Opponent	Score	Loss	Record
May 2	@ Phillies	6–5 (10)	Wilson (0–1)	13–17
May 3	@ Phillies	3–2 (10)	Seánez (2–2)	14–17
May 4	@ Phillies	6–5	Yabu (2–2)	14–18
May 6	@ Pirates	12–6	Sánchez (2–2)	14–19
May 7	@ Pirates	3–1	Zito (0–7)	14–20
May 8	@ Pirates	5–4	Cain (1–3)	14–21
May 9	Phillies	7–4	Walker (1–1)	14–22
May 10	Phillies	8–2	Moyer (2–3)	15–22
May 11	Phillies	4–3	Romero (3–1)	16–22
May 12	Astros	7–3	Chulk (0–1)	16–23
May 13	Astros	4–2	Backe (2–5)	17–23
May 14	Astros	6–3	Taschner (2–1)	17–24
May 15	Astros	8–7	Chulk (0–2)	17–25
May 16	White Sox	2–0	Sánchez (2–3)	17–26
May 17	White Sox	3–1	Zito (0–8)	17–27
May 18	White Sox	13–8	Walker (1–2)	17–28
May 19	@ Rockies	4–3	Chulk (0–3)	17–29
May 20	@ Rockies	6–5	Cook (6–3)	18–29
May 21	@ Rockies	3 – 2 (10)	Herges (2–1)	19–29
May 23	@ Marlins	8–2	Olsen (4–2)	20–29
May 24	@ Marlins	Postponed (rain) Rescheduled for May 25	Postponed (rain) Rescheduled for May 25	Postponed (rain) Rescheduled for May 25
May 25	@ Marlins	8–6	Misch (0–1)	20–30
May 25	@ Marlins	5–4	Walker (2–3)	20–31
May 27	@ D-backs	6–3	Haren (5–4)	21–31
May 28	@ D-backs	11–3	Davis (2–2)	22–31
May 29	@ D-backs	4–3	Qualls (0–5)	23–31
May 30	Padres	7–3 (13)	Sadler (0–1)	23–32
May 31	Padres	5–1	Misch (0–2)	23–33
