Outcome	Date	Tournament	Surface	Partner	Opponents	Score
Winner	1980	Denver , U.S.	Carpet	Steve Denton	Wojtek Fibak Heinz Günthardt	7–5, 6–2
Runner-up	1980	Washington-2 , U.S.	Carpet	Steve Denton	Ferdi Taygan Brian Teacher	6–4, 3–6, 6–7
Runner-up	1980	North Conway , U.S.	Clay	Steve Denton	Jimmy Connors Brian Gottfried	6–7, 3–6
Winner	1980	Indianapolis , U.S.	Clay	Steve Denton	Wojtek Fibak Ivan Lendl	3–6, 7–6, 6–4
Winner	1980	Basel , Switzerland	Hard (i)	Steve Denton	Bob Hewitt Frew McMillan	6–7, 6–4, 6–4
Winner	1981	Monterrey WCT , Mexico	Carpet	Steve Denton	Johan Kriek Russell Simpson	7–6, 6–3
Runner-up	1981	Brussels , Belgium	Carpet	Steve Denton	Sandy Mayer Frew McMillan	6–4, 3–6, 3–6
Runner-up	1981	London/Queen's Club , U.K.	Grass	Steve Denton	Pat Du Pré Brian Teacher	6–3, 6–7, 9–11
Runner-up	1981	Newport , U.S.	Grass	Billy Martin	Brad Drewett Erik Van Dillen	2–6, 4–6
Winner	1981	Indianapolis , U.S.	Clay	Steve Denton	Raúl Ramírez Van Winitsky	6–3, 5–7, 7–5
Winner	1981	Stockholm , Sweden	Hard (i)	Steve Denton	Sherwood Stewart Ferdi Taygan	6–7, 6–4, 6–0
Runner-up	1982	Masters Doubles WCT , London	Carpet	Steve Denton	Heinz Günthardt Balázs Taróczy	7–6, 3–6, 5–7, 4–6
Winner	1982	Denver , U.S.	Carpet	Steve Denton	Phil Dent Kim Warwick	6–4, 6–4
Winner	1982	Memphis , U.S.	Carpet	Steve Denton	Peter Fleming John McEnroe	7–6, 4–6, 6–2
Runner-up	1982	Munich -2 WCT, Germany	Carpet	Steve Denton	Mark Edmondson Tomáš Šmíd	6–4, 5–7, 2–6
Runner-up	1982	Rotterdam , Netherlands	Carpet	Fritz Buehning	Mark Edmondson Sherwood Stewart	5–7, 2–6
Winner	1982	Houston , U.S.	Clay	Steve Denton	Mark Edmondson Peter McNamara	7–5, 6–4
Winner	1982	U.S. Open , New York	Hard	Steve Denton	Victor Amaya Hank Pfister	6–2, 6–7, 5–7, 6–2, 6–4
Winner	1982	Los Angeles-2 WCT, U.S.	Carpet	Hank Pfister	Andy Andrews Drew Gitlin	4–6, 6–2, 7–5
Runner-up	1982	Amsterdam WCT , Netherlands	Carpet	Buster Mottram	Fritz Buehning Tomáš Šmíd	6–4, 3–6, 0–6
Winner	1983	Philadelphia , U.S.	Carpet	Steve Denton	Peter Fleming John McEnroe	6–4, 7–6
Winner	1983	Munich WCT , Germany	Carpet	Steve Denton	Heinz Günthardt Balázs Taróczy	6–7, 6–4, 6–4
Winner	1983	Houston WCT , U.S.	Clay	Steve Denton	Mark Dickson Tomáš Šmíd	7–6, 6–7, 6–1
Winner	1983	Las Vegas , U.S.	Hard	Steve Denton	Tracy Delatte Johan Kriek	6–3, 7–5
Runner-up	1983	Forest Hills WCT , U.S.	Clay	Steve Denton	Tracy Delatte Johan Kriek	7–6, 5–7, 3–6
