Series #	Title	Directed by	Written by	Original air date	Production code	U.S. viewers (millions)
1	"Pilot"	Simon West	Jim Leonard	October4,2005	475234	10.43
2	"Miranda"	Karen Gaviola	Lukas Reiter	October11,2005	2T6704	10.1
3	"Suburban Prostitution"	Steven DePaul	Lindsey Sturman	October18,2005	2T6703	9.9
4	"Divine Directions"	Helen Shaver	Leo Geter	October25,2005	2T6705	9.2
5	"Romeo and Juliet Murders"	Lewis H. Gould	Jim Leonard	November1,2005	2T6706	9.5
6	"Parents on Trial"	Charles Beeson	Erica Shelton	November11,2005	2T6708	11.87
7	"Double Life Wife"	Alex Zakrzewski	John E. Pogue	November18,2005	2T6707	11.64
8	"Under Threat"	Martha Mitchell	Lukas Reiter	November25,2005	2T6709	11.96
9	"Meth Murders"	Kevin Dowling	Leo Geter & Lindsay Jewett Sturman	December9,2005	2T6710	12.80
10	"Baseball Murder"	Emilio Estevez	Christopher Ambrose	December16,2005	2T6702	11.34
11	"The Good Doctor"	Lewis H. Gould	Jim Leonard & Erica Shelton	January6,2006	2T6712	11.47
12	"Privilege"	Roxann Dawson	Carol Barbee	January13,2006	2T6711	11.20
13	"The Rapist Next Door"	Martha Mitchell	Carol Barbee	January27,2006	2T6701	10.74
14	"Dead or Alive"	John Peters	John E. Pogue	February3,2006	2T6713	12.13
15	"Reasonable Doubts"	Andy Wolk	Lukas Reiter	March3,2006	2T6714	11.52
16	"Escape"	Charles Beeson	Alfredo Barrios Jr.	March10,2006	2T6716	9.88
17	"Land of Opportunity"	Jonathan Glassner	Leo Geter	March31,2006	2T6715	10.36
18	"Still a Small Town"	Kevin Bray	Robert Levine	April7,2006	2T6717	10.85
19	"Sex, Toys and Videotape"	Lewis H. Gould	Lindsay Sturman & Erica Shelton	April28,2006	2T6718	11.51
20	"The Shot"	Kevin Dowling	Don Winslow	May5,2006	2T6721	11.17
21	"David and Goliath"	Kevin Dowling	Don Winslow	May12,2006	2T6719	8.84
