Tie no	Home team	Score	Away team	Attendance
1	Oxford United	0 – 0	Southend United	5,163
replay	Southend United	3 – 0	Oxford United	2,740
2	Swindon Town	3 – 2	Forest Green Rovers	7,588
3	Oldham Athletic	1 – 0	Crewe Alexandra	3,900
4	Northampton Town	1 – 1	Walsall	3,887
replay	Walsall	1 – 0	Northampton Town	3,066
5	Cambridge United	1 – 0	Weymouth	4,552
6	Millwall	2 – 1	Bournemouth	4,495
7	Staines Town	0 – 5	Peterborough United	2,460
8	Bradford City	0 – 3	Tranmere Rovers	6,379
9	Torquay United	0 – 2	Brighton & Hove Albion	4,010
10	Notts County	0 – 1	Havant & Waterlooville	3,810
11	Dagenham & Redbridge	3 – 1	Kidderminster Harriers	1,493
12	Port Vale	1 – 1	Chasetown	5,875
replay	Chasetown	1 – 0	Port Vale	1,986
13	Bristol Rovers	5 – 1	Rushden & Diamonds	4,816
14	Huddersfield Town	3 – 0	Grimsby Town	6,729
15	Burton Albion	1 – 1	Barnet	2,769
replay	Barnet	1 – 0	Burton Albion	1,379
16	Bury	1 – 0	Exeter City	2,725
17	Luton Town	1 – 0	Nottingham Forest	5,758
18	Horsham	1 – 1	Swansea City	2,731
replay	Swansea City	6 – 2	Horsham	5,911
19	Hereford United	2 – 0	Hartlepool United	3,801
20	Harrogate Railway Athletic	2 – 3	Mansfield Town	1,486
