City	Country	IATA	ICAO	Airport
Akureyri	Iceland	AEY	BIAR	Akureyri Airport
Amsterdam	Netherlands	AMS	EHAM	Schiphol Airport
Anchorage	United States	ANC	PANC	Ted Stevens Airport
Baltimore	United States	BWI	KBWI	Baltimore-Washington Airport
Barcelona	Spain	BCN	LEBL	El Prat Airport
Bergen	Norway	BGO	ENBR	Bergen Airport
Billund	Denmark	BLL	EKBI	Billund Airport
Boston	United States	BOS	KBOS	Logan International Airport
Brussels	Belgium	BRU	EBBR	National Airport
Copenhagen	Denmark	CPH	EKCH	Kastrup Airport
Denver	United States	DEN	KDEN	Denver Airport
East Midlands	United Kingdom	EMA	EGNX	East Midlands Airport
Edmonton	Canada	YEG	CYEG	Edmonton Airport [begins 5 March 2014]
Frankfurt	Germany	FRA	EDDF	Frankfurt am Main Airport
Geneva	Switzerland	GVA	LSGG	Cointrin Airport [begins 24 May 2014]
Glasgow	United Kingdom	GLA	EGPF	International Airport
Gothenburg	Sweden	GOT	ESGG	Landvetter Airport
Halifax	Canada	YHZ	CYHZ	Stanfield Airport
Hamburg	Germany	HAM	EDDH	Fuhlsbüttel Airport
Helsinki	Finland	HEL	EFHK	Vantaa Airport
Liège	Belgium	LGG	EBLG	Liège Airport
London	United Kingdom	LGW	EGKK	Gatwick Airport
London	United Kingdom	LHR	EGLL	Heathrow Airport
Luxembourg City	Luxembourg	LUX	ELLX	Findel Airport
Madrid	Spain	MAD	LEMD	Barajas Airport
Manchester	United Kingdom	MAN	EGCC	Ringway Airport
Milan	Italy	MXP	LIMC	Malpensa Airport
Minneapolis	United States	MSP	KMSP	Minneapolis-St Paul Airport
Munich	Germany	MUC	EDDM	Franz Josef Strauss Airport
New York City	United States	JFK	KJFK	John F. Kennedy Airport
Newark	United States	EWR	KEWR	Liberty Airport
Orlando	United States	MCO	KMCO	Orlando Airport
Orlando	United States	SFB	KSFB	Sanford Airport
Oslo	Norway	OSL	ENGM	Gardermoen Airport
Paris	France	CDG	LFPG	Charles de Gaulle Airport
Reykjavík	Iceland	KEF	BIKF	Keflavik Airport
Saint Petersburg	Russia	LED	ULLI	Pulkovo Airport
San Francisco	United States	SFO	KSFO	San Francisco Airport
Seattle	United States	SEA	KSEA	Seattle–Tacoma Airport
Stavanger	Norway	SVG	ENZV	Sola Airport
Stockholm	Sweden	ARN	ESSA	Arlanda Airport
Toronto	Canada	YYZ	CYYZ	Pearson Airport
Trondheim	Norway	TRD	ENVA	Trondheim Airport
Vancouver	Canada	YVR	CYVR	Vancouver Airport [begins 13 May 2014]
Washington, D.C.	United States	IAD	KIAD	Dulles Airport
Zurich	Switzerland	ZRH	LSZH	Kloten Airport
