Represent Province	Contestant	Age	Height (ft.)	Height (mtr.)	Hometown
Drenthe	Bojoura Verwey	24	5'11"	1.82	Amsterdam
Flevoland	Madilon Bos	21	5'8"	1.74	Almere
Friesland	Hester Winkel	25	5'8"	1.74	Amsterdam
Gelderland	Gladys Fraenk	22	6'0"	1.83	Nijmegen
Groningen	Jana Voyvodich	20	5'11"	1.81	Groningen
Limburg	Sherien Sirvania	22	5'10"	1.79	Hoorn
North Brabant	Amanda van de Meule	24	5'7"	1.70	Capelle
North Holland	Desirée van den Berg	23	5'9"	1.76	Santpoort
Overijssel	Petra Smits	23	5'8"	1.73	Borne
South Holland	Sevtap Ergec	22	5'11"	1.80	Rotterdam
Utrecht	Karin de Boer	23	5'11"	1.80	Woerden
