Place	Player	Country	Score	To par	Money ( $ )
1	Claude Harmon	United States	70-70-69-70=279	–9	2,500
2	Cary Middlecoff	United States	74-71-69-70=284	–4	1,500
3	Chick Harbert	United States	71-70-70-76=287	–1	1,000
T4	Jim Ferrier	Australia	71-71-75-71=288	E	750
T4	Lloyd Mangrum	United States	69-73-75-71=288	E	750
T6	Ed Furgol	United States	70-72-73-74=289	+1	500
T6	Ben Hogan	United States	70-71-77-71=289	+1	500
T8	Byron Nelson	United States	71-73-72-74=290	+2	350
T8	Harry Todd	United States	72-67-80-71=290	+2	350
T10	Herman Keiser	United States	70-72-76-73=291	+3	250
T10	Bobby Locke	South Africa	71-71-74-75=291	+3	250
T10	Dick Metz	United States	71-72-75-73=291	+3	250
