Week	Date	Opponent	Result	Attendance
1	September 21, 1975	San Francisco 49ers	W 27–17	46,479
2	September 28, 1975	at Cleveland Browns	W 42–10	68,064
3	October 5, 1975	Chicago Bears	W 28–3	47,578
4	October 12, 1975	New York Jets	W 29–21	47,739
5	October 19, 1975	Detroit Lions	W 25–19	47,872
6	October 27, 1975	at Chicago Bears	W 13–9	51,259
7	November 2, 1975	at Green Bay Packers	W 28–17	57,267
8	November 9, 1975	Atlanta Falcons	W 38–0	43,751
9	November 16, 1975	at New Orleans Saints	W 20–7	52,765
10	November 23, 1975	San Diego Chargers	W 28–13	43,737
11	November 30, 1975	at Washington Redskins	L 30–31	54,498
12	December 7, 1975	Green Bay Packers	W 24–3	46,147
13	December 14, 1975	at Detroit Lions	L 10–17	73,130
14	December 20, 1975	at Buffalo Bills	W 35–13	54,993
