Driver	Constructor	Laps	Time/Retired	Grid
Damon Hill	Williams - Renault	72	1:54:55.322	1
Jacques Villeneuve	Williams - Renault	72	+12.167	3
Jean Alesi	Benetton - Renault	72	+14.754	4
Rubens Barrichello	Jordan - Peugeot	72	+55.131	6
Eddie Irvine	Ferrari	72	+1:04.991	10
Jos Verstappen	Footwork - Hart	72	+1:08.913	7
David Coulthard	McLaren - Mercedes	72	+1:13.400	9
Olivier Panis	Ligier - Mugen-Honda	72	+1:14.295	12
Johnny Herbert	Sauber - Ford	71	+1 Lap	17
Andrea Montermini	Forti - Ford	69	+3 Laps	22
Gerhard Berger	Benetton - Renault	56	Suspension	5
Michael Schumacher	Ferrari	46	Broken wing	2
Pedro Lamy	Minardi - Ford	39	Transmission	19
Mika Salo	Tyrrell - Yamaha	36	Throttle	16
Martin Brundle	Jordan - Peugeot	34	Collision	15
Tarso Marques	Minardi - Ford	33	Collision	14
Heinz-Harald Frentzen	Sauber - Ford	32	Spun off	11
Pedro Diniz	Ligier - Mugen-Honda	29	Fire	18
Ukyo Katayama	Tyrrell - Yamaha	28	Transmission	13
Ricardo Rosset	Footwork - Hart	24	Oil pump	20
Luca Badoer	Forti - Ford	24	Collision	21
Mika Häkkinen	McLaren - Mercedes	19	Throttle	8
