Member	Party	Electorate	State	First elected
Percy Abbott	Commonwealth Liberal / Nationalist	New England	NSW	1913
Frank Anstey	Labor	Bourke	Vic	1910
William Archibald	Labor / National Labor / Nationalist	Hindmarsh	SA	1910
John Arthur	Labor	Bendigo	Vic	1913
Llewellyn Atkinson	Commonwealth Liberal / Nationalist	Wilmot	Tas	1906
Frederick Bamford	Labor / National Labor / Nationalist	Herbert	Qld	1901
Sir Robert Best	Commonwealth Liberal / Nationalist	Kooyong	Vic	1910 (by-election)
James Boyd	Commonwealth Liberal / Nationalist	Henty	Vic	1913
Frank Brennan	Labor	Batman	Vic	1911 (by-election)
Reginald Burchell	Labor / National Labor / Nationalist	Fremantle	WA	1913
George Burns	Labor	Illawarra	NSW	1913
Ernest Carr	Labor / National Labor / Nationalist	Macquarie	NSW	1906
James Catts	Labor	Cook	NSW	1906
John Chanter	Labor / National Labor / Nationalist	Riverina	NSW	1914
Austin Chapman	Commonwealth Liberal / Nationalist	Eden-Monaro	NSW	1901
Matthew Charlton	Labor	Hunter	NSW	1910
Hon Joseph Cook	Commonwealth Liberal / Nationalist	Parramatta	NSW	1901
George Dankel	Labor / National Labor / Nationalist	Boothby	SA	1913
James Fenton	Labor	Maribyrnong	Vic	1910
William Finlayson	Labor	Brisbane	Qld	1910
Andrew Fisher	Labor	Wide Bay	Qld	1901
William Fleming	Commonwealth Liberal / Nationalist	Robertson	NSW	1913
Sir John Forrest	Commonwealth Liberal / Nationalist	Swan	WA	1901
Richard Foster	Commonwealth Liberal / Nationalist	Wakefield	SA	1909 (by-election)
James Fowler	Commonwealth Liberal / Nationalist	Perth	WA	1901
Patrick Glynn	Commonwealth Liberal / Nationalist	Angas	SA	1901
Henry Gregory	Commonwealth Liberal / Nationalist	Dampier	WA	1913
Littleton Groom	Commonwealth Liberal / Nationalist	Darling Downs	Qld	1901 (by-election)
Joseph Hannan	Labor	Fawkner	Vic	1913
William Higgs	Labor	Capricornia	Qld	1910
Robert Howe	Labor	Dalley	NSW	1910
Billy Hughes	Labor / National Labor / Nationalist	West Sydney	NSW	1901
Sir William Irvine	Commonwealth Liberal / Nationalist	Flinders	Vic	1906
Jens Jensen	Labor / National Labor / Nationalist	Bass	Tas	1910
Elliot Johnson	Commonwealth Liberal / Nationalist	Lang	NSW	1903
Edward Jolley	Labor	Grampians	Vic	1914
Willie Kelly	Commonwealth Liberal / Nationalist	Wentworth	NSW	1903
John Livingston	Commonwealth Liberal / Nationalist	Barker	SA	1906
John Lynch	Labor / National Labor / Nationalist	Werriwa	NSW	1914
Charles McDonald	Labor	Kennedy	Qld	1901
Charles McGrath	Labor	Ballarat	Vic	1913
William McWilliams	Commonwealth Liberal / Nationalist	Franklin	Tas	1903
Hugh Mahon	Labor	Kalgoorlie	WA	1913 (by-election)
Dr William Maloney	Labor	Melbourne	Vic	1904 (by-election)
Chester Manifold	Commonwealth Liberal / Nationalist	Corangamite	Vic	1913
Walter Massy-Greene	Commonwealth Liberal / Nationalist	Richmond	NSW	1910
James Mathews	Labor	Melbourne Ports	Vic	1906
Parker Moloney	Labor	Indi	Vic	1914
King O'Malley	Labor	Darwin	Tas	1901
Richard Orchard	Commonwealth Liberal / Nationalist	Nepean	NSW	1913
Alfred Ozanne	Labor	Corio	Vic	1914
Jim Page	Labor	Maranoa	Qld	1901
Albert Palmer	Commonwealth Liberal / Nationalist	Echuca	Vic	1906
Robert Patten	Commonwealth Liberal / Nationalist	Hume	NSW	1913
Henry Pigott	Commonwealth Liberal / Nationalist	Calare	NSW	1913
Alexander Poynton	Labor / National Labor / Nationalist	Grey	SA	1901
Edward Riley	Labor	South Sydney	NSW	1910
Arthur Rodgers	Commonwealth Liberal / Nationalist	Wannon	Vic	1913
Granville Ryrie	Commonwealth Liberal / Nationalist	North Sydney	NSW	1911 (by-election)
Sydney Sampson	Commonwealth Liberal / Nationalist	Wimmera	Vic	1906
James Sharpe	Labor	Oxley	Qld	1913
Hugh Sinclair	Commonwealth Liberal / Nationalist	Moreton	Qld	1906
Bruce Smith	Commonwealth Liberal / Nationalist	Parkes	NSW	1901
William Laird Smith	Labor / National Labor / Nationalist	Denison	Tas	1910
William Spence	Labor / National Labor / Nationalist	Darling	NSW	1901
Jacob Stumm	Commonwealth Liberal / Nationalist	Lilley	Qld	1913
Josiah Thomas	Labor / National Labor / Nationalist	Barrier	NSW	1901
John Thomson	Commonwealth Liberal / Nationalist	Cowper	NSW	1906
Frank Tudor	Labor	Yarra	Vic	1901
David Watkins	Labor	Newcastle	NSW	1901
William Watt	Commonwealth Liberal / Nationalist	Balaclava	Vic	1914
William Webster	Labor / National Labor / Nationalist	Gwydir	NSW	1903
John West	Labor	East Sydney	NSW	1910
George Wise	Independent/Nationalist	Gippsland	Vic	1914
Edwin Yates	Labor	Adelaide	SA	1914 (by-election)
