Player	Country	Year(s) won	Total	To par	Finish
Tiger Woods	United States	2000	274	−14	1
Nick Faldo	England	1987 , 1990 , 1992	282	−6	T11
John Daly	United States	1995	283	−5	T15
Tom Lehman	United States	1996	284	−4	T23
Sandy Lyle	Scotland	1985	285	−3	T32
Ernie Els	South Africa	2002	286	−2	T34
Tom Watson	United States	1975 , 1977 , 1980 , 1982 , 1983	287	−1	T41
Paul Lawrie	Scotland	1999	288	E	T52
Justin Leonard	United States	1997	288	E	T52
Mark Calcavecchia	United States	1989	289	+1	T60
Greg Norman	Australia	1986 , 1993	289	+1	T60
