Game	Date	Team	Score	High points	High rebounds	High assists	Location Attendance	Record
3	November 1	Chicago	W 95–87 (OT)	Dwyane Wade (25) (reaches 10,000 career points)	Michael Beasley , Udonis Haslem (11)	Mario Chalmers (4)	American Airlines Arena 15,865	3–0
4	November 3	Phoenix	L 96–104 (OT)	Dwyane Wade (23)	Udonis Haslem (13)	Dwyane Wade (7)	American Airlines Arena 15,105	3–1
5	November 4	@ Washington	W 93–89 (OT)	Dwyane Wade (40)	Quentin Richardson (9)	Mario Chalmers (8)	Verizon Center 17,413	4–1
6	November 6	Denver	W 96–88 (OT)	Dwyane Wade (22)	Udonis Haslem (10)	Dwyane Wade (5)	American Airlines Arena 19,600	5–1
7	November 10	Washington	W 90–76 (OT)	Dwyane Wade (41)	Jermaine O'Neal (6)	Mario Chalmers , Dwyane Wade (5)	American Airlines Arena 15,154	6–1
8	November 12	Cleveland	L 104–111 (OT)	Dwyane Wade (36)	Jermaine O'Neal (9)	Mario Chalmers (6)	American Airlines Arena 19,600	6–2
9	November 14	New Jersey	W 81–80 (OT)	Udonis Haslem (28)	Udonis Haslem (12)	Dwyane Wade (6)	American Airlines Arena 17,124	7–2
10	November 17	Oklahoma City	L 87–100 (OT)	Dwyane Wade (22)	Jermaine O'Neal (10)	Dwyane Wade (7)	American Airlines Arena 14,443	7–3
11	November 18	@ Atlanta	L 90–105 (OT)	Michael Beasley (21)	Michael Beasley (8)	Dwyane Wade (4)	Philips Arena 18,729	7–4
12	November 20	@ Toronto	L 113–120 (OT)	Mario Chalmers , Dwyane Wade (30)	Michael Beasley (12)	Dwyane Wade (8)	Air Canada Centre 19,800	7–5
13	November 22	New Orleans	W 102–101 (OT)	Dwyane Wade (31)	Michael Beasley (9)	Mario Chalmers (9)	American Airlines Arena 16,500	8–5
14	November 25	@ Orlando	W 99–98 (OT)	Dwyane Wade (24)	Jermaine O'Neal (16)	Dwyane Wade (6)	Amway Arena 17,461	9–5
15	November 27	Washington	L 84–94 (OT)	Mario Chalmers (20)	Jermaine O'Neal (13)	Dwyane Wade (6)	American Airlines Arena 17,684	9–6
