Date	Track	Race	Distance	Surface track	Winning horse	Winning jockey
January 1	Calder Race Course	Tropical Park Derby	1⅛ Miles	Turf	Soldier's Dancer	C. Velázquez
January 6	Aqueduct Racetrack	Count Fleet Stakes	1 Mile and 70 Yards	Inner Track (Dirt)	Pink Viper	N. Arroyo Jr.
January 7	Gulfstream Park	Spectacular Bid Stakes	6 Furlongs	Dirt	Buffalo Man	E. Castro
January 7	Santa Anita Park	San Miguel Stakes	6 Furlongs	Dirt	E. Z. Warrior	D. Flores
January 13	Santa Anita Park	San Rafael Stakes	1 Mile	Dirt	Notional	C. Nakatani
January 13	Fair Grounds Race Course	LeComte Stakes	1 Mile	Dirt	Hard Spun	M. Pino
January 15	Aqueduct Racetrack	Jimmy Winkfield Stakes	6 Furlongs	Inner Track (Dirt)	Bill Place	R. Dominguez
January 27	Gulfstream Park	Sunshine Million Dash Stakes	6 Furlongs	Dirt	Storm in May	M. Cruz
January 27	Tampa Bay Downs	Pasco Stakes	7 Furlongs	Dirt	Barkley Sound	E. Jurado
January 28	Golden Gate Fields	California Derby	1-1/16 Miles	Dirt	Bwana Bull	D. Lopez
February 3	Gulfstream Park	Holy Bull Stakes	1 Mile	Dirt	Nobiz Like Shobiz	C. Velázquez
February 3	Gulfstream Park	Swale Stakes	6½ Furlongs	Dirt	Adore the Gold	C. Velázquez
February 3	Santa Anita Park	Sham Stakes	1⅛ Miles	Dirt	Ravel	G. Gomez
February 3	Laurel Park	Miracle Wood Stakes	1 Mile	Dirt	Crafty Bear	M. Pino
February 10	Fair Grounds Race Course	Risen Star Stakes	1-1/16 Miles	Dirt	Notional	R. Albarado
February 10	Aqueduct Racetrack	Whirlaway Stakes	1-1/16 Miles	Inner Track (Dirt)	Summer Doldrums	M. Luzzi
February 10	Turfway Park	WEBN Stakes	1 Mile	Dirt	Joe Got Even	M. Mena
February 11	Santa Anita Park	San Vicente Stakes	7 Furlongs	Dirt	Noble Court	C. Nakatani
February 17	Tampa Bay Downs	Sam F. Davis Stakes	1-1/16 Miles	Dirt	Any Given Saturday	J. Velázquez
February 17	Turf Paradise	Turf Paradise Derby	1-1/16 Miles	Dirt	Tie Rod	J. Rivera
February 19	Oaklawn Park	Southwest Stakes	1 Mile	Dirt	Teuflesberg	S. Elliott
February 19	Aqueduct Racetrack	Fred Caposella Stakes	6 Furlongs	Dirt	Wollaston Bay	Shawn Bridgmohan
February 24	Gulfstream Park	Hallandale Beach Stakes	1-1/16 Miles	Turf	Twilight Meteor	Edgar Prado
February 24	Oaklawn Park	Mountain Valley Stakes	6 Furlongs	Dirt	Sir Five Star	J. Shepherd
March 3	Gulfstream Park	Fountain of Youth Stakes	1⅛ Miles	Dirt	Scat Daddy	John Velázquez
March 3	Gulfstream Park	Hutchesson Stakes	7½ Furlongs	Dirt	King of the Roxy	Edgar Prado
March 3	Santa Anita Park	Robert B. Lewis Stakes	1-1/16 Miles	Dirt	Great Hunter	Corey Nakatani
March 3	Turfway Park	John Battaglia Memorial Stakes	1-1/16 Miles	Dirt	Catman Running	W. Martinez
March 10	Aqueduct Racetrack	The Gotham Stakes	1-1/16 Miles	Dirt	Cowtown Cat	R. Dominguez
March 10	Fair Grounds Race Course	Louisiana Derby	1-1/16 Miles	Dirt	Circular Quay	John Velázquez
March 10	Bay Meadows	El Camino Real Stakes	1-1/16 Miles	Dirt	Bwana Bull	Russell Baze
March 16	Santa Anita Park	Pasadena Stakes	1 Mile	Turf	Whatsthescript (IRE)	I. Enriquez
March 17	Oaklawn Park	The Rebel Stakes	1-1/16 Miles	Dirt	Curlin	Robby Albarado
March 17	Santa Anita Derby	San Felipe Stakes	1-1/16 Miles	Dirt	Cobalt Blue	Victor Espinoza
March 17	Tampa Bay Downs	Tampa Bay Derby	1-1/16 Miles	Dirt	Street Sense	C. Borel
March 18	Sunland Park	Winstar Derby	1⅛ Miles	Dirt	Song of Navarone	Victor Espinoza
March 24	Turfway Park	Lane's End Stakes	1⅛ Miles	Dirt	Hard Spun	M. Pino
March 24	Turfway Park	Rushaway Stakes	1-1/16 Miles	Dirt	Dominican	Rafeal Bejarano
March 24	Laurel Park	Private Terms Stakes	1 Mile	Dirt	Etude	Luis Garcia
March 24	Gulfstream Park	Palm Beach Stakes	1⅛ Miles	Turf	Duveen	Mark Guidry
March 31	Gulfstream Park	Florida Derby	1⅛ Miles	Dirt	Scat Daddy	Edgar Prado
March 31	Gulfstream Park	Aventura Stakes	7 Furlongs	Dirt	Street Magician	Rafael Bejarano
