Game #	Date	Visitor	Score	Home	Record	Points
38	January 2	St. Louis	2 - 2	Toronto	15-16-7	37
39	January 4	Toronto	4 - 2	Detroit	16-16-7	39
40	January 6	Vancouver	2 - 5	Toronto	16-17-7	39
41	January 8	San Jose	5 - 1	Toronto	17-17-7	41
42	January 9	Toronto	5 - 4	Montreal	18-17-7	43
43	January 11	Tampa Bay	4 - 2	Toronto	19-17-7	45
44	January 13	St. Louis	4 - 3	Toronto	20-17-7	47
45	January 16	Chicago	3 - 5	Toronto	20-18-7	47
46	January 17	Toronto	3 - 5	Chicago	20-19-7	47
47	January 19	Toronto	5 - 1	St. Louis	21-19-7	49
49	January 21	Toronto	6 - 1	Tampa Bay	22-19-7	51
50	January 23	Montreal	4 - 0	Toronto	23-19-7	53
51	January 26	Minnesota	1 - 2	Toronto	23-20-7	53
52	January 30	N.Y. Rangers	3 - 1	Toronto	24-20-7	55
