District	Municipalities served	Judge of probate	Judges residence	Location of court
1	Hartford	Robert K. Killian, Jr. (D)	Hartford	Hartford
2	West Hartford	Sydney W. Elkin (D)	West Hartford	West Hartford
4	East Windsor , South Windsor , Windsor	Marianne Lassman Fisher (D) ‡	South Windsor	South Windsor
5	East Hartford	Allan T. Driscoll (D)	East Hartford	East Hartford
6	Glastonbury , Hebron	Peter Jay Alter (D)	South Glastonbury (Glastonbury)	Glastonbury
7	Newington , Rocky Hill , Wethersfield	Robert Randich (D)	Newington	Newington
8	Berlin , New Britain	Walter A. Clebowicz (D)	New Britain	New Britain
9	Avon , Canton , Granby , Simsbury	Cynthia C. Becker (R)	Avon	Simsbury
10	Burlington , Farmington	Evelyn M. Daly (D)	Farmington	Farmington
11	Enfield , Somers , Stafford	Timothy R. Keeney (R)	Somersville (Somers)	Enfield
12	Ellington , Vernon	James Purnell, III (R)	Vernon	Vernon
13	Andover , Bolton , Columbia , Manchester	Michael M. Darby (D)	Manchester	Manchester
15	Cromwell , Durham , Middlefield , Middletown	Joseph D. Marino (D)	Middletown	Middletown
16	Meriden	Brian T. Mahon (D)	Meriden	Meriden
17	Wallingford	Philip A. Wright, Jr. (D)	Wallingford	Wallingford
18	Cheshire , Southington	Matthew J. Jalowiec (R)	Cheshire	Cheshire
19	Bristol , Plainfield , Plymouth	Andre D. Dorval (D)	Bristol	Bristol
20	Waterbury , Wolcott	Thomas P. Brunnock (D)	Waterbury	Waterbury
21	Beacon Falls , Naugatuck , Middlebury , Prospect	Peter E. Mariano (R)	Naugatuck	Naugatuck
25	Coventry , Mansfield , Tolland , Willington	Claire C. Twerdy (D)	Coventry	Tolland
27	Canterbury , Killingly , Plainfield , Sterling	David A. Griffiths (D)	Danielson (Killingly)	Plainfield
30	Groton , Ledyard , North Stonington , Stonington	Nicholas Kepple (D) †	Stonington	Groton
31	New London , Waterford	Mathew H. Greene (D)	New London	New London
32	East Lyme , Montville , Old Lyme , Salem	Jeffrey A. McNamara (R)	East Lyme	Niantic (East Lyme)
34	Guilford , Madison	Joel E. Helander (R)	Guilford	Madison
35	Branford , North Branford	Frank J. Forgione (R)	Northford (North Branford)	Branford
36	East Haven , North Haven	Michael R. Brandt (R)	North Haven	East Haven
37	Bethany , Hamden	Salvatore L. Diglio (D)	Hamden	Hamden
38	New Haven	John A. Keyes (D)	New Haven	New Haven
39	West Haven	Mark J. DeGennaro (D)	West Haven	West Haven
40	Milford , Orange	Beverly Streit-Kefalas (D)	Milford	Milford
41	Ansonia , Derby , Seymour , Woodbridge	Clifford D. Hoyle (D)	Ansonia	Ansonia
42	Shelton	Fred J. Anthony (R)	Shelton	Shelton
43	Danbury	Dianne E. Yamin (R)	Danbury	Danbury
45	Bethel , Newtown , Ridgefield , Redding	Joseph A. Egan, Jr. (R)	Ridgefield	Bethel
46	Easton , Monroe , Trumbull	John P. Chiota (R)	Trumbull	Trumbull
47	Stratford	F. Paul Kurmay (R)	Stratford	Stratford
48	Bridgeport	Paul J. Ganim (D)	Bridgeport	Bridgeport
49	Fairfield	Daniel F. Caruso (R)	Fairfiled	Fairfield
50	Weston , Westport	Kevin M. O'Grady (D)	Weston	Westport
51	Norwalk , Wilton	Anthony J. DePanfilis (R)	Westport	Norwalk
52	Darien , New Canaan	Michael P. Murray (R)	Darien	Darien
53	Stamford	Gerald M. Fox, Jr. (D)	Stamford	Stamford
