Week	Date	Opponent	Result	Attendance
1	Bye	Bye	Bye	Bye
2	September 18, 1966	New York Giants	W 52–7	60,010
3	September 25, 1966	Minnesota Vikings	W 28–17	64,116
4	October 2, 1966	at Atlanta Falcons	W 47–14	56,990
5	October 9, 1966	Philadelphia Eagles	W 56–7	69,372
6	October 16, 1966	at St. Louis Cardinals	T 10–10	50,673
7	October 23, 1966	at Cleveland Browns	L 30–21	84,721
8	October 30, 1966	Pittsburgh Steelers	W 52–21	58,453
9	November 6, 1966	at Philadelphia Eagles	L 24–23	60,658
10	November 13, 1966	at Washington Redskins	W 31–30	50,927
11	November 20, 1966	at Pittsburgh Steelers	W 20–7	42,185
12	November 24, 1966	Cleveland Browns	W 26–14	80,259
13	December 4, 1966	St. Louis Cardinals	W 31–17	76,965
14	December 11, 1966	Washington Redskins	L 34–31	64,198
15	December 18, 1966	at New York Giants	W 17–7	62,735
