Year	Winner	Jockey	Trainer	Owner	Distance	Time	Purse
2013	Summer Applause	John Velazquez	Chad Brown	Greenwood Lodge Farm	1-1/16	1:46.54	$150,000
2012	Awesomemundo	Mike Smith	Bob Baffert	Adena Springs	1-1/16	1:44.70	$100,000
2011	Super Expresso	Ramon Dominguez	Todd A. Pletcher	Bobby Flay	1-1/16	1:42.85	$100,000
2010	No Race	No Race	No Race	No Race	no race	0:00.00	no race
2009	Skylighter	Julien Leparoux	Robert J. Frankel	Darley Stable	1-1/16	1:44.34	$150,000
2008	Buy The Barrell	Gabriel Saez	J. Larry Jones	Hinkle Farms	1-1/16	1:42.43	$200,000
2007	Rolling Sea	Garrett Gomez	Steve Asmussen	Millennium Farms	1-1/16	1:42.88	$200,000
2006	Pool Land	Garrett Gomez	Todd A. Pletcher	Melnyk Racing	1-1/16	1:42.71	$200,000
2005	Silmaril	Ryan Fogelsonger	Christopher Grove	S.E. Quick & C.J. Feifarek	1-1/16	1:44.87	$100,000
2004	Friel's For Real	Abel Castellano, Jr.	Edward T. Allard	Gilbert G. Campbell	1-1/16	1:45.03	$150,000
2003	Mandy's Gold	Jerry Bailey	Michael E. Gorham	Steeplechase Farm	1-1/16	1:46.32	$150,000
2002	Summer Colony	John Velazquez	Mark A. Hennig	Edward P. Evans	1-1/16	1:42.90	$150,000
2001	Serra Lake	Pat Day	C. R. McGaughey III	Mrs. Emory Hamilton	1-1/8	1:50.22	$200,000
2000	Roza Robata	Pat Day	Dale L. Romans	McKee Stable	1-1/8	1:49.82	$200,000
1999	Mil Kilates	Shane Sellers	Nick Zito	Robert Perez	1-1/8	1:49.05	$200,000
1998	Ajina	Jerry Bailey	William I. Mott	Allen E. Paulson	1-1/8	1:48.70	$200,000
1997	Rare Blend	Jerry Bailey	C. R. McGaughey III	H. Joseph Allen	1-1/8	1:51.51	$200,000
1996	Serena's Song	Gary L. Stevens	D. Wayne Lukas	Robert & Beverly Lewis	1-1/8	1:49.75	$200,000
1995	Pennyhill Park	Mike E. Smith	Roger Attfield	R.Ferguson & Anderson Farms	1-1/8	1:49.32	$200,000
1994	Double Sixes	Edgar Prado	James W. Murphy	Hickory Tree Stable	1-1/8	1:51.19	$200,000
1993	Deputation	Chris Antley	C. R. McGaughey III	Stuart Janney III	1-1/8	1:49.12	$200,000
1992	Wilderness Song	Craig Perret	James E. Day	Sam-Son Farm	1-1/8	1:49.06	$250,000
