Tournament	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	Career SR	Career Win-Loss
Grand Slams	Grand Slams	Grand Slams	Grand Slams	Grand Slams	Grand Slams	Grand Slams	Grand Slams	Grand Slams	Grand Slams	Grand Slams	Grand Slams	Grand Slams	Grand Slams
Australian Open	2R	1R	A	A	A	A	SF	A	A	A	A	0 / 7	8–6
French Open	1R	3R	2R	A	2R	3R	F	A	1R	2R	2R	0 / 15	23–15
Wimbledon	3R	A	SF	A	A	QF	QF	1R	A	A	A	0 / 8	20–8
U.S. Open	QF	A	A	A	2R	A	SF	A	A	A	A	0 / 8	13–8
Grand Slam SR	0 / 4	0 / 2	0 / 2	0 / 0	0 / 2	0 / 2	0 / 4	0 / 1	0 / 1	0 / 1	0 / 1	0 / 38	N/A
Annual Win-Loss	6–3	2–2	5–2	0–0	2–2	5–2	16–4	0–1	0–1	1–1	1–1	N/A	64–37
ATP Masters Series	ATP Masters Series	ATP Masters Series	ATP Masters Series	ATP Masters Series	ATP Masters Series	ATP Masters Series	ATP Masters Series	ATP Masters Series	ATP Masters Series	ATP Masters Series	ATP Masters Series	ATP Masters Series	ATP Masters Series
Indian Wells	W	F	2R	W	A	QF	2R	1R	A	A	A	2 / 7	18–5
Miami	SF	2R	A	A	A	A	2R	A	A	A	A	0 / 3	3–3
Monte Carlo	QF	A	QF	1R	1R	SF	A	A	A	A	A	0 / 5	6–5
Rome	1R	A	2R	A	A	A	1R	A	A	A	A	0 / 3	1–3
Hamburg	QF	A	A	A	A	A	F	A	A	A	A	0 / 2	4–2
Montreal/Toronto	A	A	A	A	A	A	1R	A	A	A	A	0 / 1	0–1
Cincinnati	SF	1R	SF	A	A	1R	A	A	A	A	A	0 / 4	6–4
Stuttgart (Stockholm)	W	A	A	A	A	2R	2R	A	A	A	A	1 / 3	5–2
Paris	QF	1R	A	A	A	2R	2R	A	A	A	A	0 / 4	2–3
Masters Series SR	2 / 8	0 / 4	0 / 4	1 / 2	0 / 1	0 / 5	0 / 7	0 / 1	0 / 0	0 / 0	0 / 0	3 / 32	N/A
Annual Win-Loss	18–6	4–4	7–4	5–1	0–1	7–4	4–7	0–1	0–0	0–0	0–0	N/A	45–28
Year End Ranking	4	84	29	114	96	32	14	565	1384	652	463	N/A	N/A
